hindi,phon
अंजनी, a n a n ii
अंजबार, a n b aa r
अंजर-पंजर, a n a r - p a n a r
अंजरा, a n a r aa
अंजल, a n a l
अंजलि, a n a l i
अंजली, a n @ l ii
अंजाम, a n aa m
अंजीर, a n ii r
अंजुमन, a n u m a n
अंजुल, a n u l
अंजू, a n uu
अँजोरा, a n j o r aa
अंझा, a n jh aa
अंट, a n tt
अँटना, a n tt n aa
अँटवाना, a n tt v aa n aa
अंटा, a n tt aa
अँटाना, a n tt aa n aa
अँटिया, a n tt i y aa
अँटियाना, a n tt i y aa n aa
अंटी, a n tt ii
अँठई, a n tth a ii
अँठलाना, a n tth l aa n aa
अँठलाना, a n tth l aa n aa
अँठली, a n tth l ii
अंड, a n dd
अंड, a n dd
अंड-बंड, a n dd - b a n dd
अंडा, a n dd aa
अँड़ियाना, a ~ rr i y aa n aa
अंडी, a n dd ii
अंडी, a n dd ii
अँड़ैल, a ~ rr E l
अंत-, a n t a h -
अंत, a n t
अँतड़ी, a n t rr ii
अंतर्-, a n t a r -
अंतर, a n t a r
अंतरण, a n t a r a n
अंतरा, a n t @ r aa
अँतरा, a n t r aa
अंतराल, a n t a r aa l
अंतरिक, a n t a r i k
अंतरिक्ष, a n t a r i k sh
अंतरित, a n t a r i t
अंतरिम, a n t a r i m
अँतरिया, a n t r i y aa
अंतरीय, a n t @ r ii y @
अँतरौटा, a n t r O tt aa
अंतश्-, a n t a sh -
अंतस्-, a n t a s -
अंतस्थ, a n t a s th
अंताराष्ट्रीय, a n t aa r aa sh tt r ii y @
अंतिक, a n t i k
अंतिम, a n t i m
अंते, a n t e
अंतेवासी, a n t e v aa s ii
अंत्य, a n t y @
अंत्र, a n t r @
अंदर, a n d a r
अंदरसा, a n d a r s aa
अंदरून, a n d @ r uu n
अंदरुनी, a n d @ r uu n ii
अ़ंदाज़, a n d aa z
अंदाज़न, a n d aa z a n
अंदाज़ा, a n d aa z aa
अंदेशा, a n d e sh aa
अंदोह, a n d o h
अंध, a n dh
अंधकार, a n dh @ k aa r
अंधड़, a n dh a rr
अंधता, a n dh @ t aa
अँधला, a n dh l aa
अंधा, a n dh aa
अंधापन, a n dh aa p a n
अँधियार, a n dh i y aa r
अँधियारा, a n dh i y aa r aa
अँधियारी, a n dh i y aa r ii
अँधियाला, a n dh i y aa l aa
अँधियाव, a n dh i y aa v
अँधेर, a n dh e r
अँधेरा, a n dh e r aa
अँधेरी, a n dh e r ii
अँधौरी, a n dh O r ii
अंब, a m b
अंबक, a m b a k
अँबती, a m b @ t ii
अंबर, a m b a r
अंबर, a m b a r
अंबर, a m b a r
अँबराई, a m b @ r aa ii
अंबरी, a m b a r ii
अंबल, a m b a l
अंबा, a m b aa
अंबाड़ा, a m b aa rr aa
अंबार, a m b aa r
अंबारी, a m b aa r ii
अंबालिका, a m b aa l i k aa
अँबासना, a m b aa s n aa
अंबिका, a m b i k aa
अँबिया, a m b i y aa
अंबु, a m b u
अँबोती, a m b o t ii
अंबोह, a m b o h
अंभ, a m bh
अँभौरी, a m bh O r ii
अंश, a n sh
अंशक, a n sh a k
अंशी, a n sh ii
अंशुमान, a n sh u m aa n
अंशुमाली, a n sh u m aa l ii
अंस, a n s
अ-, a -
अऊत, a uu t
अकंटक, a - k a n tt a k
अकंपन, a - k a m p a n
अकंपित, a - k a m p i t
-अक, - a k
अकज-, a k a j -
अकड़, a k a rr
अकड़ना, a k a rr n aa
अकड़ाना, a k rr aa n aa
अकड़ू, a k rr uu
अकड़ैत, a k rr E t
अकती, a k t ii
अकथ, a - k a th
अकथनीय, a - k a th @ n ii y @
अकथित, a - k a th i t
अकथ्य, a - k a th y @
अकधक, a k dh a k
अकन-, a k a n -
अकबक, a k b a k
अकबकाना, a k b a k aa n aa
अकबत, a k a b a t
अकबरी, a k b a r ii
अकर, a - k a r
अकर, a - k a r
अकरण, a - k a r a n
अकरणीय, a - k a r @ n ii y @
अकरा, a k r aa
अकरा, a k r aa
अकरी, a k r ii
अकर्म, a - k a r m
अकर्मक, a - k a r m a k
अकर्मण्य, a - k a r m a n y @
अकर्मण्यता, a - k a r m a n y @ t aa
अकर्मा, a - k a r m aa
अकर्मी, a - k a r m ii
अक़ल, a q l
अकलंक, a - k a l a ~ k
अकलंकता, a - k a l a ~ k @ t aa
अकलंकित, a - k a l a ~ k i t
अकलंकी, a - k a l a ~ k ii
अकल-, a k a l -
अकल्पनीय, a - k a l p @ n ii y @
अकल्पित, a - k a l p i t
अकल्याण, a - k a l y aa n
अक़वाम, a q v aa m
अकसर, a k s a r
अकसरियत, a k s a r i y a t
अकसीर, a k s ii r
अकस्मात्, a - k a s m aa t
अकाज, a - k aa j
अकाजी, a k aa j ii
अकाट्य, a - k aa tt y @
अकादमी, a k aa d m ii
अकाम, a - k aa m
अकामता, a - k aa m @ t aa
अकामी, a - k aa m ii
अकार, a - k aa r
अकारण, a - k aa r a n
अकारत, a - k aa r a t
अकारथ, a - k aa r a th
अकाल, a - k aa l
अकासनीम, a k aa s n ii m
अकिंचन, a - k i n c a n
अक़ीक़, a q ii q
अक़ीदत, a q ii d a t
अक़ीदा, a q ii d aa
अकीर्ति, a - k ii r t i
अकुंठ, a - k u n tth
अकुल, a - k u l
अकुलाना, a k u l aa n aa
अकुलाहट, a k u l aa h a tt
अकुली, a k u l ii
अकुलीन, a - k u l ii n
अकुशल, a - k u sh a l
अकृत, a - k r i t
अकृतकार्य, a - k r i t @ k aa r y @
अकृतज्ञ, a - k r i t a g y @
अकृतज्ञता, a - k r i t a g y @ t aa
अकृतार्थ, a - k r i t aa r th
अकृती, a - k r i t ii
अकृत्य, a - k r i t y @
अकृत्रिम, a - k r i t r i m
अकेला, a k e l aa
अकेलापन, a k e l aa p a n
अकोर, a k o r
अकोर, a k o r
अकोल, a k o l
अकौड़ा, a k O rr aa
-अक्कड़, - a k k a rr
अक़्क़ल-बार, a q q a l - b aa r
अक्खड़, a k kh a rr
अक्खड़पन, a k kh a rr p a n
अक्खंड़पना, a k kh a rr p a n aa
अक्खाह, a k kh aa h
अक्तूबर, a k t uu b a r
अक्रूर, a - k r uu r
अक़्ल, a q l
अक़्ली, a q l ii
अक्ष, a k sh
अक्षत, a - k sh a t
अक्षम, a - k sh a m
अक्षमता, a - k sh a m @ t aa
अक्षय, a - k sh a y
अक्षयता, a - k sh a y @ t aa
अक्षय्य, a - k sh a y y @
अक्षर, a - k sh a r
अक्षरी, a k sh a r ii
अक्षरी, a k sh a r ii
अक्षरौटी, a k sh a r O tt ii
अक्षि, a k sh i
अक्षीय, a k sh ii y @
अक्षुण्ण, a - k sh u n n
अक्षेम, a - k sh e m
अक्षोनि, a k sh o n i
अक्षोहिणी, a k sh o h i n ii
अक्स, a k s
अक्सर, a k s a r
अखंड, a - kh a n dd
अखंडता, a - kh a n dd @ t aa
अखंडनीय, a - kh a n dd @ n ii y @
अखंडित, a - kh a n dd i t
अखंड्य, a - kh a n dd y @
अखज, a kh a j
अखड़ाना, a kh rr aa n aa
अखड़ैत, a kh rr E t
अख़नी, a x n ii
अख़बार, a x b aa r
अख़बारी, a x b aa r ii
अखय, a kh a y
अखरना, a kh a r n aa
अखरोट, a kh r o tt
अख़रोट, a x r o tt
अख़लाक़, a x l aa q
अखाड़ा, a kh aa rr aa
अखड़िया, a kh aa rr i y aa
अखाद्य, a - kh aa d y @
अखिल, a kh i l
अख़ीर, a x ii r
अख़्तियार, a x t i y aa r
अख्यात, a - kh y aa t
अख्याति, a - kh y aa t i
अग, a - g
अगड़धत्त, a g a rr dh a t t
अगड़-बगड़, a g a rr - b a g a rr
अगड़म-बगड़म, a g a rr a m - b a g a rr a m
अगणनीय, a - g a n @ n ii y @
अगणित, a - g a n i t
अगण्य, a - g a n y @
अगत, a - g a t
अगति, a - g a t i
अगतिक, a - g a t i k
अगती, a g t ii
अगत्तर, a g a t t a r
अगन, a g a n
अगम, a - g a m
अगम, a g a m
अगम्य, a - g a m y @
अगर, a g a r
अगर, a g a r
अगरचे, a g a r c e
अग़ल-बग़ल, a Gh a l - b a Gh a l
अगला, a g l aa
अगवाई, a g v aa ii
अगवाड़ा, a g v aa rr aa
अगवान, a g v aa n
अगवान, a g v aa n
अगवानी, a g v aa n ii
अगवानी, a g v aa n ii
अगवार, a g v aa r
अगस्त, a g a s t
अगस्ति, a g a s t i
अगस्त्य, a g a s t y @
अगहन, a g  h a n
अगहनिया, a g  h a n i y aa
अगहनी, a g  h a n ii
अगाऊ, a g aa uu
अगाड़ी, a g aa rr ii
अगाध, a - g aa dh
अगाधता, a g aa dh @ t aa
अगास, a g aa s
आगासी, a g aa s ii
आगिया, a g i y aa
अगियाना, a g i y aa n aa
अगियारी, a g i y aa r ii
अगुआ, a g u aa
अगुआई, a g u aa ii
अगुण, a - g u n
अगुणी, a - g u n ii
अगुवा, a g u v aa
अगूढ़, a - g uu rrh
अगोचर, a - g o c a r
आगोट-, a g o tt -
अगोत्री, a - g o t r ii
अगोरा, a g o r aa
अगोरना, a g o r n aa
अगौनी, a g O n ii
अगौर, a g O r
अग्ग्रास, a g g r aa s
अग्नि, a g n i
अग्र, a g r @
अग्रणी, a g r @ n ii
अग्रता, a g r @ t aa
अग्राह्य, a - g r aa h y @
अग्रिम, a g r i m
अघ, a gh
अघट, a - gh a tt
अघटित, a - gh a tt i t
अघाई, a gh aa ii
अघाई, a gh aa ii
अघाना, a gh aa n aa
अघाना, a gh aa n aa
अघोर, a - gh o r
अघोरी, a gh o r ii
अघोरीपन, a gh o r ii p a n
अघोरीपना, a gh o r ii p a n aa
अघोष, a - gh o sh
अचंचल, a - c a n c a l
अचंड, a - c a n dd
अचंभा, a c a m bh aa
अचंभित, a c a m bh i t
अच-, a c -
अंचक, a c a k
अंचक, a c a k
अचक-, a c a k -
अचकचाना, a c k a c aa n aa
अचकचाहट, a c k a c aa h a tt
अचकन, a c k a n
अचक्षु, a - c a k sh u
अचतुर, a - c a t u r
अचपल, a - c a p a l
अचपल, a c p a l
अचपलता, a c p a l t aa
अचपला, a c p a l aa
अचपलापन, a c p a l aa p a n
अचपली, a c p a l ii
अचर, a - c a r
अचरज, a c @ r a j
अचरा, a c r aa
अचल, a - c a l
अचला, a - c @ l aa
अचव-, a c a v -
अचवन, a c v a n
अचवाना, a c v aa n aa
अचांचक, a c aa n c a k
अचाका, a c aa k aa
अचानक, a c aa n a k
अचाना, a c aa n aa
अचार, a c aa r
अचार, a c aa r
अचिंत, a - c i n t
अचिंतनीय, a - c i n t @ n ii y @
अचिंता, a - c i n t aa
अचिंतित, a - c i n t i t
अचिंत्य, a - c i n t y @
अचिकित्स्य, a - c i k i t s y @
अचिर, a - c i r
अचीता, a - c ii t aa
अचूक, a - c uu k
अचेत, a - c e t
अचेतन, a - c e t a n
अचेतनता, a - c e t a n @ t aa
अचेतपना, a c e t p a n aa
अचेष्ट, a - c e sh tt
अचैतन्य, a - c E t a n y @
अचैन, a - c E n
अचौन, a c O n
अच्छ, a c ch
अच्छ, a c ch
अच्छत, a c ch a t
अच्छर, a c ch a r
अच्छरी, a c ch r ii
अच्छा, a c ch aa
अच्छाई, a c ch aa ii
अच्छापन, a c ch aa p a n
अच्युत, a - c y u t
अछ-, a ch -
अछत, a - ch a t
अछताना-पछताना, a ch t aa n aa - p a ch t aa n aa
अछरी, a ch a r ii
अछरौटी, a ch r O tt ii
अछवानी, a ch v aa n ii
अछूत, a - ch uu t
अछूता, a - ch uu t aa
अछेद, a - ch e d
अछेव, a - ch e v
अछेह, a ch e h
अंजट, a j a n tt
अज, a - j
अज़, a z
अज-, a j -
अजगर, a j @ g a r
अजगरी, a j @ g a r ii
अजगव, a j g a v
अजगुत, a j g u t
अजदहा, a j d a h aa
अजनबी, a j n a b ii
अजनबीपन, a j n a b ii p a n
अजनबीयत, a j n a b ii y a t
अजन्म, a - j a n m
अजन्मा, a - j a n m aa
अजब, a j a b
अज़मत, a z m a t
अजमूद, a j m uu d
अजमोद, a j m o d
अजमोदा, a j m o d aa
अजय, a - j a y
अजर, a - j a r
अजरायल, a j a r aa y a l
अजल, a j a l
अजल, a - j a l
अजवाइन, a j v aa i n
अजवायन, a j v aa y n
अजस्त्र, a - j a s r @
अज़ा, a z aa
अजात, a - j aa t
अजात, a - j aa t
अजाति, a - j aa t i
अजाती, a j aa t ii
अजान, a - j aa n
अज़ान, a z aa n
अजानपन, a - j aa n p a n
अजाना, a - j aa n aa
अजानी, a - j aa n ii
अज़ाब, a z aa b
अजायब, a j aa y b
प्रजार, a j aa r
अजित, a - j i t
अजिन, a j i n
अजिर, a j i r
अजी, a j ii
अज़ीज़, a z ii z
अज़ीज़ी, a z ii z ii
अजीत, a - j ii t
अजीब, a j ii b
अज़ीम, a z ii m
अजीरन, a - j ii r a n
अजीर्ण, a - j ii r n
अजीव, a - j ii v
अजूठा, a - j uu tth aa
अजूबा, a j uu b aa
अजूरा, a j uu r aa
अजोड़, a - j o rr
अजोत, a - j o t
अजोत, a - j o t
अजौरी, a j O r ii
अजौली, a j O l ii
अज्ञ, a - g y @
अज्ञता, a - g y @ t aa
अज्ञात, a - g y aa t
अज्ञान, a - g y aa n
अज्ञानता, a - g y aa n @ t aa
अज्ञानपन, a - g y aa n p a n
अज्ञानी, a - g y aa n ii
अज्ञेय, a - g y e y
अटंबर, a tt a m b a r
अट-, a tt -
अट-, a tt -
अटक, a tt a k
अटकना, a tt a k n aa
अटकर, a tt k a r
अटकल, a tt k a l
अटकलना, a tt k a l n aa
अटका, a tt k aa
अटका, a tt k aa
अटकाना, a tt k aa n aa
अटकाव, a tt k aa v
अटन, a tt a n
अटना, a tt n aa
अटपट, a tt p a tt
अटपटाँग, a tt p a tt aa ng g
अटपटा, a tt p a tt aa
अटपटाना, a tt p a tt aa n aa
अटपटी, a tt p a tt ii
अटम, a tt a m
अटम-पटम, a tt a m - p a tt a m
अटल, a - tt a l
अटवाटी-खटवाटी, a tt v aa tt ii - kh a tt v aa tt ii
अटवी, a tt @ v ii
अट-सट, a tt - s a tt
अटा, a tt aa
अटाटूट, a tt aa tt uu tt
अटाना, a tt aa n aa
अटारी, a tt aa r ii
अटाल, a tt aa l
अटाला, a tt aa l aa
अटिया, a tt i y aa
अटूट, a - tt uu tt
अटेक, a - tt e k
अटेरन, a tt e r a n
अटेरना, a tt e r n aa
अटोक, a - tt o k
अट्ट, a tt tt
अट्ट-सट्ट, a tt tt - s a tt tt
अट्टहास, a tt tt @ h aa s
अट्टा, a tt tt aa
अट्टालिका, a tt tt aa l i k aa
अट्टी, a tt tt ii
अट्ठा, a tt tth aa
अट्ठाईस, a tt tth aa ii s
अट्ठानवे, a tt tth aa n v e
अट्ठावन, a tt tth aa v a n
अट्ठासी, a tt tth aa s ii
अठ-, a tth -
अठखेलपन, a tth kh e l p a n
अठखेलपना, a tth kh e l p a n aa
अठखेली, a tth kh e l ii
अठन्नी, a tth a n n ii
अठल, a tth a l
अठवारा, a tth v aa r aa
अठहत्तर, a tth h a t t a r
अठारह, a tth aa r a h
अठारहवाँ, a tth aa r a h v aa ~
अठेल, a - tth e l
अठौड़ी, a tth O rr ii
अड़ँग-तड़ँग, a rr a ng g - t a rr a ng g
अड़ँग-बड़ँग, a rr a ng g - b a rr a ng g
अड़ंगा, a rr a ng g aa
अड़, a rr
अड़गोड़ा, a rr g o rr aa
अड़चन, a rr c a n
अड़चल, a rr c a l
अड़ड़ाना, a rr rr aa n aa
अड़तालीस, a rr t aa l ii s
अड़तीस, a rr t ii s
अड़ना, a rr n aa
अड़प-झड़प, a rr a p - jh a rr a p
अड़बंगा, a rr b a ng g aa
अड़बंद, a rr b a n d
अडर-उडर, a dd a r - u dd a r
अड़वा, a rr v aa
अड़वाड़, a rr v aa rr
अडसट्टा, a dd s a tt tt aa
अड़सठ, a rr s a tth
अड़हाया, a rr  h aa y aa
अड़हुल, a rr  h u l
अड़ा, a rr aa
अड़ाड़, a rr aa rr
अड़ाड़, a rr aa rr
अड़ाना, a rr aa n aa
अड़ार, a rr aa r
अड़ार, a rr aa r
अड़ारी, a rr aa r ii
अडिग, a - dd i g
अड़ियल, a rr i y a l
अड़ी, a rr ii
अड़ुआ, a rr u aa
अड़ूसा, a rr uu s aa
अड़ैंच, a rr E n c
अडोल, a - dd o l
अड़ोस-पड़ोस, a rr o s - p a rr o s
अड़ोसी-पड़ोसी, a rr o s ii - p a rr o s ii
अढ़तिया, a rrh a t i y aa
अड्डा, a dd dd aa
अढ़ाई, a rrh aa ii
अढाना, a ddh aa n aa
अढ़िया, a rrh i y aa
अढ़ैया, a rrh E y aa
अढ़ौना, a rrh O n aa
अणि, a n i
अणिमा, a n i m aa
अणु, a n u
अणुक, a n u k
-अत, - a t
अत-, a t -
अतत्ताही, a t a t t aa h ii
अतनु, a - t a n u
अतर, a t a r
अतरपाल, a t a r p aa l
अतरसों, a t a r s o ~
अतर्क, a - t a r k
अतर्क्य, a - t a r k y @
अतल, a - t a l
अतलस, a t l a s
अतलसी, a t l a s ii
अतसी, a t s ii
अता, a t aa
आताई, a t aa ii
अताई, a t aa ii
अता-पता, a t aa - p a t aa
अति, a t i
अतिकाय, a t i - k aa y
अतिकाल, a t i - k aa l
अतिक्रमण, a t i - k r a m a n
अतिचार, a t i - c aa r
अतिजीवन, a t i - j ii v a n
अतिजीवित, a t i - j ii v i t
अतिजीवी, a t i - j ii v ii
अतिथि, a t i th i
अतिदान, a t i - d aa n
अतिपातक, a t i - p aa t a k
अतिबल, a t i - b a l
अतिबार, a t i - b aa r
अतिबेल, a t i - b e l
अतिभार, a t i - bh aa r
अतिरंजन, a t i - r a n a n
अतिरंजित, a t i - r a n i t
अतिरिक्त, a t i - r i k t
अतिरेक, a t i - r e k
अतिरोग, a t i - r o g
अतिवक्ता, a t i - v a k t aa
अतिवाद, a t i - v aa d
अतिवादी, a t i - v aa d ii
अतिवानी, a t i v aa n ii
अतिविष, a t i - v i sh
अतिशय, a t i - sh a y
अतिशयता, a t i - sh a y @ t aa
अतिशयी, a t i - sh a y ii
अतिशीत, a t i - sh ii t
अतिशीतन, a t i - sh ii t a n
अतिसार, a t i - s aa r
अतींद्रिय, a t ii n d r i y @
अतीत, a t ii t
अतीत-, a t ii t -
अतीव, a t ii v
अतीस, a t ii s
अतुरा-, a t u r aa -
अतुराई, a t u r aa ii
अतुल, a - t u l
अतुलनीय, a - t u l @ n ii y @
अतुलित, a - t u l i t
अतुल्य, a - t u l y @
अतृप्त, a - t r i p t
अतृप्ति, a - t r i p t i
अतोल, a - t o l
अत्तार, a t t aa r
अत्तारी, a t t aa r ii
अत्यंत, a t y - a n t
अत्यंतता, a t y - a n t @ t aa
अत्यधिक, a t y - a dh i k
अत्यधिकता, a t y - a dh i k @ t aa
अत्यय, a t y - a y
अत्यर्थ, a t y - a r th
अत्यल्प, a t y - a l p
अत्याचार, a t y - aa - c aa r
अत्याचारी, a t y - aa - c aa r ii
अत्यानंद, a t y - aa - n a n d
अत्यावश्यक, a t y - aa v a sh y a k
अत्युक्ति, a t y - u k t i
अत्युत्तम, a t y - u t t a m
अथ, a th
अथक, a - th a k
अथमना, a th a m n aa
अथर्वनी, a th a r v @ n ii
अथव-, a th a v a -
अथवा, a th @ v aa
अथाई, a th aa ii
अथाह, a - th aa h
अथित, a - th i t
आथिर, a - th i r
अदंड, a - d a n dd
अदंडनीय, a - d a n dd @ n ii y @
अदंड्य, a - d a n dd y @
अदत्त, a - d a t t
अदद, a d a d
अदना, a d n aa
अदब, a d a b
अदबदकर, a d b a d k a r
अदबदाना, a d b a d aa n aa
अदम, a d a m
अदम्य, a - d a m y @
अदय, a - d a y
अदरक, a d r a k
अदरकी, a d r a k ii
अदरख, a d r a kh
अदरावन, a d r aa v a n
अदर्श, a - d a r sh
अदर्शन, a - d a r sh a n
अदल, a d a l
अदल-बदल, a d a l - b a d a l
अदला-बदला, a d l aa - b a d l aa
अदला-बदली, a d l aa - b a d l ii
अदली-बदली, a d l ii - b a d l ii
अदवाइन, a d v aa i n
अदवान, a d v aa n
अदहन, a d  h a n
अदा, a d aa
अदाता, a - d aa t aa
अदानी, a - d aa n ii
अदायगी, a d aa y g ii
अदालत, a d aa l a t
अदालती, a d aa l @ t ii
अदावत, a d aa v a t
अदावती, a d aa v @ t ii
अदिति, a - d i t i
अदिन, a - d i n
अदिष्ट, a - d i sh tt
आदिस्टि, a - d i s tt i
अदृढ़, a - d r i rrh
अदृश्य, a - d r i sh y @
अदृश्यता, a - d r i sh y @ t aa
अदृष्ट, a - d r i sh tt
अदेय, a - d e y
अदेस, a d e s
अदोष, a - d o sh
अदौड़ी, a d O rr ii
अदौरी, a d O r ii
अद्धा, a d dh aa
अद्धी, a d dh ii
अद्भुत, a d bh u t
अद्भुतत्व, a d bh u t a t v @
अद्य, a d y @
अद्यतन, a d y a t a n
अद्रि, a d r i
अद्रोह, a - d r o h
अद्रोही, a - d r o h ii
अद्वितीय, a - d v i t ii y @
अद्वेष, a - d v e sh
अद्वेषी, a - d v e sh ii
अद्वैत, a - d v E t
अधः-, a dh a h -
अध-, a dh -
अध-, a dh -
अधन, a - dh a n
अधन्ना, a dh a n n aa
अधम, a dh a m
अधमता, a dh a m @ t aa
अधर, a - dh a r
अधर, a dh a r
अधर्म, a - dh a r m
अधर्मपना, a - dh a r m p a n aa
अधर्मिष्ठ, a - dh a r m i sh tth
अधर्मी, a - dh a r m ii
अधस्-, a dh a s -
अधारी, a dh aa r ii
अधारी, a - dh aa r ii
अधार्मिक, a - dh aa r m i k
अधि-, a dh i -
अधिक, a dh i k
अधिकतम, a dh i k @ t a m
अधिकतर, a dh i k @ t a r
अधिकता, a dh i k @ t aa
अधिकरण, a dh i - k a r a n
अधिकर्मी, a dh i - k a r m ii
अधिका-, a dh i k aa -
अधिकाई, a dh i k aa ii
अधिकार, a dh i - k aa r
अधिकारक, a dh i - k aa r a k
अधिकारिक, a dh i - k aa r i k
अधिकारिणी, a dh i - k aa r i n ii
अधिकारी, a dh i - k aa r ii
अधिकारी, a dh i - k aa r ii
अधिकृत, a dh i - k r i t
अधिकृति, a dh i - k r i t i
अधिगत, a dh i - g a t
अधिगम, a dh i - g a m
अधिगमन, a dh i - g a m a n
अधिग्रहण, a dh i - g r a h a n
अधित्यका, a dh i t y @ k aa
अधिदेश, a dh i - d e sh
अधिदैविक, a dh i - d E v i k
अधिनायक, a dh i - n aa y a k
अधिनायकत्व, a dh i - n aa y @ k a t v @
अधिनियम, a dh i - n i - y a m
अधिनियमन, a dh i - n i - y a m a n
अधिनियमित, a dh i - n i - y a m i t
अधिप, a dh i - p
अधिपति, a dh i - p a t i
अधिपत्र, a dh i - p a t r @
अधिप्रमाणित, a dh i - p r a - m aa n i t
अधिभार, a dh i - bh aa r
अधिभौतिक, a dh i - bh O t i k
अधिमत, a dh i - m a t
अधिमान, a dh i - m aa n
अधिमास, a dh i - m aa s
अधिया, a dh i y aa
अधियाना, a dh i y aa n aa
अधियार, a dh i y aa r
अधियारी, a dh i y aa r ii
अधिराज, a dh i - r aa j
अधिराज्य, a dh i - r aa j y @
अधिरोपण, a dh i - r o p a n
अधिरोपित, a dh i - r o p i t
अधिवक्ता, a dh i - v a k t aa
अधिवर्ष, a dh i - v a r sh
अधिवास, a dh i - v aa s
अधिवासी, a dh i - v aa s ii
अधिवेशन, a dh i - v e sh a n
अधिशासी, a dh i - sh aa s ii
अधिशेष, a dh i - sh e sh
अधिष्ठाता, a dh i - sh tth aa t aa
अधिष्ठात्री, a dh i - sh tth aa t r ii
अधिष्ठान, a dh i - sh tth aa n
अधिष्ठित, a dh i - sh tth i t
अधिसंख्य, a dh i - s a ng - kh y @
अधिसूचना, a dh i - s uu c @ n aa
अधिसूचित, a dh i - s uu c i t
अधीक्षक, a dh ii k sh a k
अधीक्षण, a dh ii k sh a n
अधीत, a dh ii t
अधीन, a dh ii n
अधीनता, a dh ii n @ t aa
अधीनीकरण, a dh ii n ii k a r a n
अधीर, a - dh ii r
अधीरज, a dh ii r a j
अधीरता, a - dh ii r @ t aa
अधीश, a dh ii sh
अधिश्वर, a dh ii sh v a r
अधुना, a dh u n aa
अधूरा, a dh uu r aa
अधेड़, a dh e rr
अधेड़पना, a dh e rr p a n aa
अधेला, a dh e l aa
अधेली, a dh e l ii
अधैर्य, a - dh E r y @
अधो-, a dh o -
अधोतर, a dh o t a r
अधौड़ी, a dh O rr ii
