अकोल,akol
अकौड़ा,akauṛā
अक्कड़,akkaṛ
अक़्क़लबार,aqqalbār
अक्खड़,akkhaṛ
अक्खड़पन,akkhaṛpan
अक्खंड़पना,akkhaṛpanā
अक्खाह,akkhāh
अक्तूबर,aktūbar
अक्रूर,akrūr
अक़्ल,aql
अक़्ली,aqlī
अक्ष,akṣ
अक्षत,akṣat
अक्षम,akṣam
अक्षमता,akṣamătā
अक्षय,akṣay
अक्षयता,akṣayătā
अक्षय्य,akṣayyă
अक्षर,akṣar
अक्षरी,akṣarī
अक्षरी,akṣarī
अक्षरौटी,akṣarauṭī
अक्षि,akṣi
अक्षीय,akṣīyă
अक्षुण्ण,akṣuṇṇ
अक्षेम,akṣem
अक्षोनि,akṣoni
अक्षोहिणी,akṣohiṇī
अक्स,aks
अक्सर,aksar
अखंड,akhaṇḍ
अखंडता,akhaṇḍătā
अखंडनीय,akhaṇḍănīyă
अखंडित,akhaṇḍit
अखंड्य,akhaṇḍyă
अखज,akhaj
अखड़ाना,akhṛānā
अखड़ैत,akhṛait
अख़नी,aḵẖnī
अख़बार,aḵẖbār
अख़बारी,aḵẖbārī
अखय,akhay
अखरना,akharnā
अखरोट,akhroṭ
अख़रोट,aḵẖroṭ
अख़लाक़,aḵẖlāq
अखाड़ा,akhāṛā
अखड़िया,akhāṛiyā
अखाद्य,akhādyă
अखिल,akhil
अख़ीर,aḵẖīr
अख़्तियार,aḵẖtiyār
अख्यात,akhyāt
अख्याति,akhyāti
अग,ag
अगड़धत्त,agaṛdhatt
अगड़बगड़,agaṛbagaṛ
अगड़मबगड़म,agaṛambagaṛam
अगणनीय,agaṇănīyă
अगणित,agaṇit
अगण्य,agaṇyă
अगत,agat
अगति,agati
अगतिक,agatik
अगती,agtī
अगत्तर,agattar
अगन,agan
अगम,agam
अगम,agam
अगम्य,agamyă
अगर,agar
अगर,agar
अगरचे,agarce
अग़लबग़ल,aGalbaGal
अगला,aglā
अगवाई,agvāī
अगवाड़ा,agvāṛā
अगवान,agvān
अगवान,agvān
अगवानी,agvānī
अगवानी,agvānī
अगवार,agvār
अगस्त,agast
अगस्ति,agasti
अगस्त्य,agastyă
अगहन,agʾhan
अगहनिया,agʾhaniyā
अगहनी,agʾhanī
अगाऊ,agāū
अगाड़ी,agāṛī
अगाध,agādh
अगाधता,agādhătā
अगास,agās
आगासी,agāsī
आगिया,agiyā
अगियाना,agiyānā
अगियारी,agiyārī
अगुआ,aguā
अगुआई,aguāī
अगुण,aguṇ
अगुणी,aguṇī
अगुवा,aguvā
अगूढ़,agūṛh
अगोचर,agocar
आगोट,agoṭ
अगोत्री,agotrī
अगोरा,agorā
अगोरना,agornā
अगौनी,agaunī
अगौर,agaur
अग्ग्रास,aggrās
अग्नि,agni
अग्र,agră
अग्रणी,agrăṇī
अग्रता,agrătā
अग्राह्य,agrāhyă
अग्रिम,agrim
अघ,agh
अघट,aghaṭ
अघटित,aghaṭit
अघाई,aghāī
अघाई,aghāī
अघाना,aghānā
अघाना,aghānā
अघोर,aghor
अघोरी,aghorī
अघोरीपन,aghorīpan
अघोरीपना,aghorīpanā
अघोष,aghoṣ
अचंचल,acañcal
अचंड,acaṇḍ
अचंभा,acambhā
अचंभित,acambhit
अच,ac
अंचक,acak
अंचक,acak
अचक,acak
अचकचाना,ackacānā
अचकचाहट,ackacāhaṭ
अचकन,ackan
अचक्षु,acakṣu
अचतुर,acatur
अचपल,acapal
अचपल,acpal
अचपलता,acpaltā
अचपला,acpalā
अचपलापन,acpalāpan
अचपली,acpalī
अचर,acar
अचरज,acăraj
अचरा,acrā
अचल,acal
अचला,acălā
अचव,acav
अचवन,acvan
अचवाना,acvānā
अचांचक,acāñcak
अचाका,acākā
अचानक,acānak
अचाना,acānā
अचार,acār
अचार,acār
अचिंत,acint
अचिंतनीय,acintănīyă
अचिंता,acintā
अचिंतित,acintit
अचिंत्य,acintyă
अचिकित्स्य,acikitsyă
अचिर,acir
अचीता,acītā
अचूक,acūk
अचेत,acet
अचेतन,acetan
अचेतनता,acetanătā
अचेतपना,acetpanā
अचेष्ट,aceṣṭ
अचैतन्य,acaitanyă
अचैन,acain
अचौन,acaun
अच्छ,acch
अच्छ,acch
अच्छत,acchat
अच्छर,acchar
अच्छरी,acchrī
अच्छा,acchā
अच्छाई,acchāī
अच्छापन,acchāpan
अच्युत,acyut
अछ,ach
अछत,achat
अछतानापछताना,achtānāpachtānā
अछरी,acharī
अछरौटी,achrauṭī
अछवानी,achvānī
अछूत,achūt
अछूता,achūtā
अछेद,ached
अछेव,achev
अछेह,acheh
अंजट,ajaṇṭ
अज,aj
अज़,az
अज,aj
अजगर,ajăgar
अजगरी,ajăgarī
अजगव,ajgav
अजगुत,ajgut
अजदहा,ajdahā
अजनबी,ajnabī
अजनबीपन,ajnabīpan
अजनबीयत,ajnabīyat
अजन्म,ajanm
अजन्मा,ajanmā
अजब,ajab
अज़मत,azmat
अजमूद,ajmūd
अजमोद,ajmod
अजमोदा,ajmodā
अजय,ajay
अजर,ajar
अजरायल,ajarāyal
अजल,ajal
अजल,ajal
अजवाइन,ajvāin
अजवायन,ajvāyn
अजस्त्र,ajasră
अज़ा,azā
अजात,ajāt
अजात,ajāt
अजाति,ajāti
अजाती,ajātī
अजान,ajān
अज़ान,azān
अजानपन,ajānpan
अजाना,ajānā
अजानी,ajānī
अज़ाब,azāb
अजायब,ajāyb
प्रजार,ajār
अजित,ajit
अजिन,ajin
अजिर,ajir
अजी,ajī
अज़ीज़,azīz
अज़ीज़ी,azīzī
अजीत,ajīt
अजीब,ajīb
अज़ीम,azīm
अजीरन,ajīran
अजीर्ण,ajīrṇ
अजीव,ajīv
अजूठा,ajūṭhā
अजूबा,ajūbā
अजूरा,ajūrā
अजोड़,ajoṛ
अजोत,ajot
अजोत,ajot
अजौरी,ajaurī
अजौली,ajaulī
अज्ञ,agyă
अज्ञता,agyătā
अज्ञात,agyāt
अज्ञान,agyān
अज्ञानता,agyānătā
अज्ञानपन,agyānpan
अज्ञानी,agyānī
अज्ञेय,agyey
अटंबर,aṭambar
अट,aṭ
अट,aṭ
अटक,aṭak
अटकना,aṭaknā
अटकर,aṭkar
अटकल,aṭkal
अटकलना,aṭkalnā
अटका,aṭkā
अटका,aṭkā
अटकाना,aṭkānā
अटकाव,aṭkāv
अटन,aṭan
अटना,aṭnā
अटपट,aṭpaṭ
अटपटाँग,aṭpaṭāṁg
अटपटा,aṭpaṭā
अटपटाना,aṭpaṭānā
अटपटी,aṭpaṭī
अटम,aṭam
अटमपटम,aṭampaṭam
अटल,aṭal
अटवाटीखटवाटी,aṭvāṭīkhaṭvāṭī
अटवी,aṭăvī
अटसट,aṭsaṭ
अटा,aṭā
अटाटूट,aṭāṭūṭ
अटाना,aṭānā
अटारी,aṭārī
अटाल,aṭāl
अटाला,aṭālā
अटिया,aṭiyā
अटूट,aṭūṭ
अटेक,aṭek
अटेरन,aṭeran
अटेरना,aṭernā
अटोक,aṭok
अट्ट,aṭṭ
अट्टसट्ट,aṭṭsaṭṭ
अट्टहास,aṭṭăhās
अट्टा,aṭṭā
अट्टालिका,aṭṭālikā
अट्टी,aṭṭī
अट्ठा,aṭṭhā
अट्ठाईस,aṭṭhāīs
अट्ठानवे,aṭṭhānve
अट्ठावन,aṭṭhāvan
अट्ठासी,aṭṭhāsī
अठ,aṭh
अठखेलपन,aṭhkhelpan
अठखेलपना,aṭhkhelpanā
अठखेली,aṭhkhelī
अठन्नी,aṭhannī
अठल,aṭhal
अठवारा,aṭhvārā
अठहत्तर,aṭhhattar
अठारह,aṭhārah
अठारहवाँ,aṭhārahvāṁ
अठेल,aṭhel
अठौड़ी,aṭhauṛī
अड़ँगतड़ँग,aṛaṁgtaṛaṁg
अड़ँगबड़ँग,aṛaṁgbaṛaṁg
अड़ंगा,aṛaṅgā
अड़,aṛ
अड़गोड़ा,aṛgoṛā
अड़चन,aṛcan
अड़चल,aṛcal
अड़ड़ाना,aṛṛānā
अड़तालीस,aṛtālīs
अड़तीस,aṛtīs
अड़ना,aṛnā
अड़पझड़प,aṛapjhaṛap
अड़बंगा,aṛbaṅgā
अड़बंद,aṛband
अडरउडर,aḍaruḍar
अड़वा,aṛvā
अड़वाड़,aṛvāṛ
अडसट्टा,aḍsaṭṭā
अड़सठ,aṛsaṭh
अड़हाया,aṛʾhāyā
अड़हुल,aṛʾhul
अड़ा,aṛā
अड़ाड़,aṛāṛ
अड़ाड़,aṛāṛ
अड़ाना,aṛānā
अड़ार,aṛār
अड़ार,aṛār
अड़ारी,aṛārī
अडिग,aḍig
अड़ियल,aṛiyal
अड़ी,aṛī
अड़ुआ,aṛuā
अड़ूसा,aṛūsā
अड़ैंच,aṛaiṁc
अडोल,aḍol
अड़ोसपड़ोस,aṛospaṛos
अड़ोसीपड़ोसी,aṛosīpaṛosī
अढ़तिया,aṛhatiyā
अड्डा,aḍḍā
अढ़ाई,aṛhāī
अढाना,aḍhānā
अढ़िया,aṛhiyā
अढ़ैया,aṛhaiyā
अढ़ौना,aṛhaunā
अणि,aṇi
अणिमा,aṇimā
अणु,aṇu
अणुक,aṇuk
अत,at
अत,at
अतत्ताही,atattāhī
अतनु,atanu
अतर,atar
अतरपाल,atarpāl
अतरसों,atarsoṁ
अतर्क,atark
अतर्क्य,atarkyă
अतल,atal
अतलस,atlas
अतलसी,atlasī
अतसी,atsī
अता,atā
आताई,atāī
अताई,atāī
अतापता,atāpatā
अति,ati
अतिकाय,atikāy
अतिकाल,atikāl
अतिक्रमण,atikramaṇ
अतिचार,aticār
अतिजीवन,atijīvan
अतिजीवित,atijīvit
अतिजीवी,atijīvī
अतिथि,atithi
अतिदान,atidān
अतिपातक,atipātak
अतिबल,atibal
अतिबार,atibār
अतिबेल,atibel
अतिभार,atibhār
अतिरंजन,atirañan
अतिरंजित,atirañit
अतिरिक्त,atirikt
अतिरेक,atirek
अतिरोग,atirog
अतिवक्ता,ativaktā
अतिवाद,ativād
अतिवादी,ativādī
अतिवानी,ativānī
अतिविष,ativiṣ
अतिशय,atiśay
अतिशयता,atiśayătā
अतिशयी,atiśayī
अतिशीत,atiśīt
अतिशीतन,atiśītan
अतिसार,atisār
अतींद्रिय,atîndriyă
अतीत,atît
अतीत,atīt
अतीव,atîv
अतीस,atīs
अतुरा,aturā
अतुराई,aturāī
अतुल,atul
अतुलनीय,atulănīyă
अतुलित,atulit
अतुल्य,atulyă
अतृप्त,atr̥pt
अतृप्ति,atr̥pti
अतोल,atol
अत्तार,attār
अत्तारी,attārī
अत्यंत,atyant
अत्यंतता,atyantătā
अत्यधिक,atyadhik
अत्यधिकता,atyadhikătā
अत्यय,atyay
अत्यर्थ,atyarth
अत्यल्प,atyalp
अत्याचार,atyācār
अत्याचारी,atyācārī
अत्यानंद,atyānand
अत्यावश्यक,atyāvaśyak
अत्युक्ति,atyukti
अत्युत्तम,atyuttam
अथ,ath
अथक,athak
अथमना,athamnā
अथर्वनी,atharvănī
अथव,athava
अथवा,athăvā
अथाई,athāī
अथाह,athāh
अथित,athit
आथिर,athir
अदंड,adaṇḍ
अदंडनीय,adaṇḍănīyă
अदंड्य,adaṇḍyă
अदत्त,adatt
अदद,adad
अदना,adnā
अदब,adab
अदबदकर,adbadkar
अदबदाना,adbadānā
अदम,adam
अदम्य,adamyă
अदय,aday
अदरक,adrak
अदरकी,adrakī
अदरख,adrakh
अदरावन,adrāvan
अदर्श,adarś
अदर्शन,adarśan
अदल,adal
अदलबदल,adalbadal
अदलाबदला,adlābadlā
अदलाबदली,adlābadlī
अदलीबदली,adlībadlī
अदवाइन,advāin
अदवान,advān
अदहन,adʾhan
अदा,adā
अदाता,adātā
अदानी,adānī
अदायगी,adāygī
अदालत,adālat
अदालती,adālătī
अदावत,adāvat
अदावती,adāvătī
अदिति,aditi
अदिन,adin
अदिष्ट,adiṣṭ
आदिस्टि,adisṭi
अदृढ़,adr̥ṛh
अदृश्य,adr̥śyă
अदृश्यता,adr̥śyătā
अदृष्ट,adr̥ṣṭ
अदेय,adey
अदेस,ades
अदोष,adoṣ
अदौड़ी,adauṛī
अदौरी,adaurī
अद्धा,addhā
अद्धी,addhī
अद्भुत,adbhut
अद्भुतत्व,adbhutatvă
अद्य,adyă
अद्यतन,adyatan
अद्रि,adri
अद्रोह,adroh
अद्रोही,adrohī
अद्वितीय,advitīyă
अद्वेष,adveṣ
अद्वेषी,adveṣī
अद्वैत,advait
अधः,adhaḥ
अध,adh
अध,adh
अधन,adhan
अधन्ना,adhannā
अधम,adham
अधमता,adhamătā
अधर,adhar
अधर,adhar
अधर्म,adharm
अधर्मपना,adharmpanā
अधर्मिष्ठ,adharmiṣṭh
अधर्मी,adharmī
अधस्,adhas
अधारी,adhārī
अधारी,adhārī
अधार्मिक,adhārmik
अधि,adhi
अधिक,adhik
अधिकतम,adhikătam
अधिकतर,adhikătar
अधिकता,adhikătā
अधिकरण,adhikaraṇ
अधिकर्मी,adhikarmī
अधिका,adhikā
अधिकाई,adhikāī
अधिकार,adhikār
अधिकारक,adhikārak
अधिकारिक,adhikārik
अधिकारिणी,adhikāriṇī
अधिकारी,adhikārī
अधिकारी,adhikārī
अधिकृत,adhikr̥t
अधिकृति,adhikr̥ti
अधिगत,adhigat
अधिगम,adhigam
अधिगमन,adhigaman
अधिग्रहण,adhigrahaṇ
अधित्यका,adhityăkā
अधिदेश,adhideś
अधिदैविक,adhidaivik
अधिनायक,adhināyak
अधिनायकत्व,adhināyăkatvă
अधिनियम,adhiniyam
अधिनियमन,adhiniyaman
अधिनियमित,adhiniyamit
अधिप,adhip
अधिपति,adhipati
अधिपत्र,adhipatră
अधिप्रमाणित,adhipramāṇit
अधिभार,adhibhār
अधिभौतिक,adhibhautik
अधिमत,adhimat
अधिमान,adhimān
अधिमास,adhimās
अधिया,adhiyā
अधियाना,adhiyānā
अधियार,adhiyār
अधियारी,adhiyārī
अधिराज,adhirāj
अधिराज्य,adhirājyă
अधिरोपण,adhiropaṇ
अधिरोपित,adhiropit
अधिवक्ता,adhivaktā
अधिवर्ष,adhivarṣ
अधिवास,adhivās
अधिवासी,adhivāsī
अधिवेशन,adhiveśan
अधिशासी,adhiśāsī
अधिशेष,adhiśeṣ
अधिष्ठाता,adhiṣṭhātā
अधिष्ठात्री,adhiṣṭhātrī
अधिष्ठान,adhiṣṭhān
अधिष्ठित,adhiṣṭhit
अधिसंख्य,adhisaṅkhyă
अधिसूचना,adhisūcănā
अधिसूचित,adhisūcit
अधीक्षक,adhîkṣak
अधीक्षण,adhîkṣaṇ
अधीत,adhît
अधीन,adhīn
अधीनता,adhīnătā
अधीनीकरण,adhīnīkaraṇ
अधीर,adhīr
अधीरज,adhīraj
अधीरता,adhīrătā
अधीश,adhîś
अधिश्वर,adhîśvar
अधुना,adhunā
अधूरा,adhūrā
अधेड़,adheṛ
अधेड़पना,adheṛpanā
अधेला,adhelā
अधेली,adhelī
अधैर्य,adhairyă
अधो,adho
अधोतर,adhotar
अधौड़ी,adhauṛī
अध्यक्ष,adhyakṣ
अध्यक्षता,adhyakṣătā
अध्यक्षत्व,adhyakṣatvă
अध्यक्षा,adhyakṣā
अध्ययन,adhyayan
अध्ययनीय,adhyayanīyă
अध्यवसाय,adhyavăsāy
अध्यवसायी,adhyavăsāyī
अध्यात्म,adhyātm
अध्यात्मिक,adhyātmik
अध्यादेश,adhyādeś
अध्यापक,adhyāpak
अध्यापकी,adhyāpăkī
अध्यापन,adhyāpan
अध्यापिका,adhyāpikā
अध्याय,adhyāy
अध्यारोप,adhyārop
अध्यारोपण,adhyāropaṇ
अध्यारोपित,adhyāropit
अध्यास,adhyās
अध्यासीन,adhyāsīn
अध्याहार,adhyāhār
अध्याहुत,adhyāhr̥t
अध्येता,adhyetā
अध्येय,adhyey
अध्रुव,adhruv
अन,an
अनंग,anaṅg
अनंगी,anaṅgī
अनंगीकरण,anaṅgīkaraṇ
अनंगीकार,anaṅgīkār
अनंत,anant
अनंतता,anantătā
अनंतिम,anantim
अनंतर,anantar
अनंतरित,anantarit
अनंतरीय,anantarīyă
अनंतर्हित,anantarhit
अनंत्य,anantyă
अनंद,anand
अनंश,anaṃś
अन,an
अन,an
अन,an
अनकना,ankanā
अनक्षर,anakṣar
अनख,anakh
अनखा,ankhā
अनखाहट,ankhāhaṭ
अनखी,ankhī
अनगढ़,angaṛh
अनगढ़त,angaṛhat
अनगढ़पन,angaṛhpan
अनगढ़पना,angaṛhpanā
अनगणित,angaṇit
अनगिनत,anginat
अनगिना,anginā
अनगी,angī
अनघ,anagh
अनघड़,anghaṛ
अनघड़त,anghaṛat
अनघड़पन,anghaṛpan
अनघड़पना,anghaṛpanā
अनचाहत,ancāhat
अनचाहा,ancāhā
अनचित,ancit
अनचित्ता,ancittā
अनचीत,ancīt
अनचीता,ancītā
अनचेना,ancenā
अनछीला,anchīlā
अनछेड़,ancheṛ
अनजना,anjanā
अनजाई,anjāī
अनजान,anjān
अनजानत,anjānat
अनजाना,anjānā
अनजानी,anjānī
अनजामा,anjāmā
अनझिप,anjhip
अनट,anaṭ
अनत,anat
अनदेखा,andekhā
अनदेखी,andekhī
अनधिकार,anadhikār
अनन्नास,anannās
अनन्नासी,anannāsī
अनन्य,ananyă
अनन्यता,ananyătā
अनपच,anpac
अनपढ़,anpaṛh
अनपढ़ता,anpaṛhtā
अनपढ़ा,anpaṛhā
अनपराध,anapărādh
अनपराधी,anapărādhī
अनपरिचय,anparicay
अनपाय,anapây
अनपायी,anapâyī
अनपेक्ष,anapêkṣ
अनपेक्षा,anapêkṣā
अनपेक्षित,anapêkṣit
अनपेक्ष्य,anapêkṣyă
अनप्रतीती,anpratîtī
अनबन,anban
अनबन,anban
अनबिंधा,anbiṁdhā
अनबूझ,anbūjh
अनबेधा,anbedhā
अनबोल,anbol
अनबोला,anbolā
अनबोया,anboyā
अनब्याहा,anbyāhā
अनभल,anbhal
अनभला,anbhalā
अनभाया,anbhāyā
अनभिज्ञ,anabhigyă
अनभिज्ञता,anabhigyătā
अनभिलाष,anabhilāṣ
अनभिलाषी,anabhilāṣī
अनमन,anman
अनमना,anmanā
अनमनाना,anmanānā
अनमनापन,anmanāpan
अनमनाहट,anmanāhaṭ
अनमिल,anmil
अनमेल,anmel
अनमोल,anmol
अनरखा,anrakhā
अनरस,anras
अंनरीति,anrīti
अनर्गल,anargal
अनर्थ,anarth
अनर्थक,anarthak
अनर्थकारी,anarthkārī
अनर्थी,anarthī
अनर्हता,anarhătā
अनल,anal
अनलसित,analăsit
अनवकाश,anavăkāś
अनवट,anvaṭ
अनवट,anvaṭ
अनवद्य,anavadyă
अनवधान,anavădhān
अनवधानता,anavădhānătā
अनवधि,anavădhi
अनवरत,anavărat
अनवरोध,anavărodh
अनवसर,anavăsar
अनवस्थ,anavasth
अनवस्था,anavăsthā
अनवस्थित,anavăsthit
अनवाँसा,anvāṁsā
अनवाँसी,anvāṁsī
अनशन,anăśan
अनश्वर,anaśvar
अनसमझ,ansamajh
अनसिखा,ansikhā
अनसुन,ansun
अनसुना,ansunā
अनसुनी,ansunī
अनसूय,anasūya
अनसोच,ansoc
अनसोचा,ansocā
अनहंकार,anahaṅkār
अनहित,anhit
अनहितू,anhitū
अनहोता,anhotā
अनहोना,anhonā
अनहोनी,anhonī
अनाकानी,anākānī
अनाकार,anākār
अनाक्रमण,anākramaṇ
अनाक्रांत,anākrānt
अनाक्रांता,anākrāntā
अनागत,anāgat
अनागति,anāgati
अनागम,anāgam
अनागम्य,anāgamyă
अनाचरण,anācaraṇ
अनाचार,anācār
अनाचारिता,anācāritā
अनाचारी,anācārī
अनाचित,anācit
अनाचिती,anācitī
अनाज,anāj
अनाजी,anājī
अनाड़ी,anāṛī
अनाड़ीपन,anāṛīpan
अनाड़ीपना,anāṛīpanā
अनातुर,anātur
अनात्म,anātmă
अनात्मक,anātmak
अनाथ,anāth
अनाद,anād
अनादर,anādar
अनादरण,anādaraṇ
अनादरणीय,anādarăṇīyă
अनादरित,anādărit
अनादि,anādi
अनादिता,anāditā
