punjabi,phon
ਅਚਾਰਵਣਤ,a c aa r v a nn t
ਆਚਾਰਵਣਤੀ,aa c aa r v a nn t ii
ਅੱਚਣਚੇਤ,a c c a nn c e t
ਅੱਚਵੀ,a c c a v ii
ਅੱਛਾ,a c ch aa
ਅੱਛਰ,a c ch a r
ਅੱਖਰ,a k kh a r
ਅੱਚੋਵਾਈਂ,a c c o v aa ii ng
ਅਚੁਤ,a c c u t
ਅਚੇਤ,a c e t
ਆਛਾ,aa ch aa
ਅਛੈ,a ch E
ਅਖੈ,a kh E
ਅਛਾਡ਼,a ch aa rr
ਅਛੇਦ,a ch e d
ਅਛਿੰਦਾ,a ch i ng d aa
ਅਛੋਹ,a ch o h
ਅਛੂਹ,a ch uu h
ਅਛੂਹਤ,a ch uu h t
ਅਚਪਲ,a c p a l
ਅਚਪਲਾਈ,a c p a l aa ii
ਆਦ,aa d
ਆਡ,aa dd
ਅਦਾ,a d aa
ਆਡਾ,aa dd aa
ਅਦਬ,a d a b
ਅਦਲ,a d a l
ਆਦਲ,aa d a l
ਅਦਾਲਤ,a d aa l a t
ਅਦਾਲਤਣ,a d aa l a t a nn
ਅਦਾਲਤੀ,a d aa l a t ii
ਆਦਮ,d a m
ਅਡੰਬਰ,a dd a m b a r
ਆਡੰਬਰ,aa dd a m b a r
ਆਡੰਬਰਣ,aa dd a m b a r a nn
ਆਡੰਬਰੀ,aa dd a m b a r ii
ਅਡੰਬਰੀ,a dd a m b a r ii
ਆਦਰ,aa d a r
ਆਦਤ,aa d a t
ਅਡਾਉਣਾ,a dd aa u nn aa
ਅੱਡ,a dd dd
ਅੱਡਾ,a dd dd aa
ਆੱਡਾ,aa dd dd aa
ਅੱਦਾ,a d d aa
ਅੱਡਣਸਾਹੀ,s aa h ii
ਅੱਡਣਸ਼ਾਹੀ,sh aa h ii
ਅੱਧ,a d dh
ਅੱਧਾ,a d dh aa
ਆੱਢਾ,aa dd ddh aa
ਅੱਧਣ,a d dh a nn
ਅੱਧਡ਼ੀ,a d dh a rr ii
ਅੱਧਡ਼ਵੰਜਾ,a d dh a rr v a ng j j aa
ਅੱਧੀ,a d dh ii
ਅੱਧੋਰਾਨਾ,a d dh o r aa n aa
ਅੱਧਯਾਨੀ,a d dh y aa n ii
ਅੱਧਯਾਰਾ,a d dh y aa r aa
ਅੱਡੀ,a dd dd ii
ਆੱਦੀ,aa d d ii
ਅੱਦਿਆਉ,a d d i aa u
ਅੱਡਣਾ,a dd dd nn aa
ਅਦੇਸ,a d e s
ਅਢ,a ddh
ਅਧਕ,a dh a k
ਅਧਮ,a dh a m
ਅਧਾਨ,a dh aa n
ਆਧਾਨ,aa dh aa n
ਅਧਾਰ,a dh aa r
ਆਧਾਰ,aa dh aa r
ਅਧਰਮ,a dh a r m
ਅਧਰਮਣ,a dh a r m a nn
ਅਧਰਮੀ,a dh a r m ii
ਅਧਰਮਤਾਈ,a dh a r m t aa ii
ਅਧੇਲਾ,a dh e l aa
ਅਧੇਡ਼,a dh e rr
ਆਧੀ,aa dh ii
ਆਧੀਲ,aa dh i l
ਅਧੀਣ,a dh ii nn
ਆਧੀਣ,aa dh ii nn
ਅਧੀਣਤਾਈ,a dh ii nn t aa ii
ਅਧਕਾਰ,a dh k aa r
ਅਧਕਾਰਣ,a dh k aa r a nn
ਅਧਕਾਰੀ,a dh k aa r ii
ਅਧਲਾਪਾ,a dh l aa p aa
ਅਧਲਾਪੀ,a dh l aa p i
ਅਧਲੋਪੀ,a dh l o p i
ਅਧਮੂਲ,a dh m uu l
ਆਢਣਾ,aa ddh nn aa
ਅਧੋਰਨ,a dh o r a n
ਅਧੋਰਨਾ,a dh o r n aa
ਅਧਰਾਜ,a dh r aa j
ਅਧਰਕ,a dh r a k
ਅਧਰੰਗ,a dh r a ng g
ਅਧਰੰਗੱਣ,a dh r a ng g - g a nn
ਅਧਰੰਗੀ,a dh r a ng g g i
ਅਧਰਸ,a dh r a s
ਅਧਰਾਤਾ,a dh r aa t aa
ਅਧਸਾਲੀ,a dh s aa l i
ਅਧੂਰਾ,a dh uu r aa
ਅਧੂਤ,a dh uu t
ਅਧੂਤਣੀ,a dh uu t a nn i
ਅਧੁਆਡ਼,a dh u aa rr
ਅੰਧਵਾਡ਼,a dh v aa rr
ਅਧਯਾਰਾ,a dh y aa r aa
ਅਦਿਸਟ,a d i s tt
ਅਡਿੱਠ,a dd i tt tth
ਅਦਰਕ,a d k a r
ਅਦਲੀ,a d l i
ਅਡਲੂਣ,a dd l uu nn
ਆਦਮੀ,aa d m ii
ਅਦਨਾ,a d n aa
ਅਡੋਲ,a dd o l
ਅਦਰਕ,a d r a k
ਅਦਰਸ,a d r a s
ਅਦਰੱਸਾ,a d r a s s aa
ਅਦੁਆਈਣ,a d u aa i nn
ਅਦਵਾਈਣ,a d v aa i nn
ਅਦਵਾਣ,a d v aa nn
ਅਦੂਲ,a d uu l
ਅਫਾਤ,a ph aa t
ਆਫਤ,aa ph a t
ਅਫੀਮ,a ph ii m
ਅਫੀਮਣ,a ph ii m a nn
ਅਫੀਮੀ,a ph ii m ii
ਅਫਲਾਤੂਣ,a ph l aa t uu nn
ਅਫਲਾਤੂ,a ph l aa t uu ng
ਅਫਰਾਦਫਰੀ,a ph r aa d a ph r ii
ਅਫਰਾਤਫਰੀ,a ph r aa t a ph r ii
ਅਫਰਾਓਂ,a ph r aa o ng
ਅਫਰੋਈ,a ph r o ii
ਅਫਰੋਈਂ,a ph r o ii ng
ਅਫਰੀ,a ph r ii
ਅਫਰੀਣ,a ph r ii nn
ਅਫਰੀਂ,a ph r ii ng
ਅਫਸੋਸ,a ph s o s
ਆਫਤਾਬਾ,aa ph t aa b aa
ਅਫੁਆਹ,a ph u aa h
ਅਫਵਾਹ,a ph v aa h
ਆਗ,aa g
ਅਗਦ,a g a d
ਅਗਾਧ,a g aa dh
ਅਗਾਹਾਂ,a g aa h aa ng
ਅਗਲ,b a g a l
ਅਗਮ,a g a m
ਅਗੱਮ,a g a m m
ਅਗਣ,a g a nn
ਅਗਾਂ,a g aa ng
ਅਗਾਂਹ,a g aa ng h
ਅਗਾਂਹਾਂ,a g aa n h aa ng
ਅਗਣਤ,a g a nn t
ਅਗਰ,a g a r
ਅਗਾਡ਼ੇ,a g aa rr e
ਅਗਾਡ਼ੀ,a g aa rr i
ਅਗਾਸ,a g aa s
ਅਗਸਤ,a g a s t
ਆਗਤ,aa g a t
ਅਗਾਊ,a g aa uu
ਆਗਊਂ,a g aa uu ng
ਆਗੇ,aa g e
ਅਗੇਡੇ,p i ch e dd e
ਅਗੇਰੇ,a g e r e
ਅਗੇਤ,a g e t
ਅਗੇਤਾ,a g e t a
ਅਗੇਤਰੇ,a g e t a r e
ਅੱਗ,a g g
ਅੱਗਾਂ,a g g aa
ਅੱਗਲਵਾਂਢੀ,a g g a l v aa ng ddh ii
ਅੱਗਰ,a g g a r
ਅਗੱਡ਼ਪਿੱਛਡ਼,p i c ch a rr
ਅੱਗੇ,a g g e
ਅਗਿਓਂ,a g g i o ng
ਅੱਗੋਂ,a g g o ng
ਅੱਗਾਯਾ,aa g g y aa
ਅਗੱਯਾਨ,a g g y aa n
ਅੱਗਯਾਨਣ,a g g y aa n a nn
ਅੱਗਯਾਨੀ,a g g y aa n ii
ਅੱਗਯਾਨਤਾਈ,aa g g y aa n t aa ii
ਅਘ,a gh
ਅਘਾਲਣ,a gh aa l a nn
ਅਘਾਲਣਾ,a gh aa l nn aa
ਅਘਡ਼ਣ,a gh a rr a nn
ਅਘਡ਼ੀ,a gh a rr ii
ਅਘਡ਼ਪੁਣਾ,a gh a r p u nn aa
ਅਘਾਵਨ,a gh aa v a n
ਅਗਲਾ,a g l aa
ਅਗਲੇਰਾ,a g l e r aa
ਅਗਲੇਰੀ,a g l e r i
ਅਗਲੀ,a g l i
ਅਗਲੀ,a g l ii
ਅਗਮਾਨ,a g m aa n
ਅਗੋਚਰ,a g o c a r
ਅਗੋਲਣਾ,a g o l nn aa
ਅਗਰਾਹੇਜਾਣਾ,a g r aa h e j aa nn aa
ਅਗਰਾਹੁਣਾ,a g r aa h u nn aa
ਆਗੂ,aa g u
ਅਗਵਾਹਾ,a g v aa h aa
ਅਗਵਾਨ,a g v aa n
ਅਗਵਾਡ਼ਾ,a g v aa rr aa
ਅਗਵਾਡ਼ੀ,a g v aa rr ii
ਅਗਯਾਨ,a g y aa n
ਅਗਯਾਨੀ,a g y aa n ii
ਅਹ,a h
ਆਹ,aa h
ਆਹਾ,aa h aa
ਅਹਾਹਾ,a h aa h aa
ਆਹਲ,j a h aa
ਅਹਲੀ,aa h a l
ਅਹਲੀ,a h a l i
ਅਹਾਲੀ,a h aa l i
ਅਹਾਂ,a h aa n
ਆਹਣ,aa h a nn
ਅਹੰਕਾਰ,a h a n g k aa r
ਅਹੰਕਾਰਣ,a h a n g k aa r a nn
ਅਹੰਕਾਰੀ,a h a ng g k aa r ii
ਅਹਾਰ,a h aa r
ਆਹਰ,aa h a r
ਆਹਰੀ,aa h a r i
ਅਹਾਰੀ,a h aa r i
ਆਹਭੂ,aa h bh uu
ਅਹਬੂ,a h b u
ਆਹਬੂ,aa h b uu
ਅਹਡਾ,a h dd aa
ਆਹਡਾ,aa h dd aa
ਆਹੇ,aa h e
ਆਹੀ,aa h ii
ਅਹੀਂ,aa h ii ng
ਆਹਿਣ,aa h i nn
ਅਹਲਕ,a h l a k
ਆਹਲਕ,aa h l a k
ਆਹਲਕਣ,a h l a k a n
ਅਹਲਕੀ,aa h l a k a nn
ਆਹਲਕੀ,a h l a k ii
ਆਹਲਣਾ,aa h l a nn aa
ਆਹਲੂਵਾਲੀਆ,aa h l uu v aa l ii aa
ਅਹਮਦ,a h m a d
ਆਹਮਣਾ,s aa h m a nn aa
ਸਾਹਮਣਾ,s aa h m a nn aa
ਆਹਣਾ,aa h nn aa
ਆਹੋ,aa h o
ਆਹਰਣ,aa h r a nn
ਅਹਰਣ,a h r a nn
ਆਹਡ਼ਤ,aa h rr a t
ਅਹਡ਼ਤ,a h rr a t
ਅਹਡ਼ਤਣ,a h rr a t a nn
ਆਹਡ਼ਤਣ,aa h rr a t a nn
ਅਹਡ਼ਤੀ,a h rr a t ii
ਆਹਡ਼ਤੀ,aa h rr a t ii
ਅਹਡ਼ਤੀਆ,a h rr a t ii aa
ਆਹਡ਼ਤੀਆ,aa h rr a t ii aa
ਆਹਤਰਾਫੀ,a h t a r aa ph ii
ਆਹੁਲਾ,aa h u l aa
ਆਹੂਲਹਣਾ,aa h uu l a h nn aa
ਆਹੂਲਾਹੁਣਾ,aa h uu l aa h u nn aa
ਆਹੁਰ,aa h u r
ਐ,E
ਐਬ,E b
ਐਬਣ,E b a nn
ਐਬੀ,E b ii
ਐਡ,E dd
ਐਡਾ,E dd aa
ਐਧਰ,E dh a r
ਐਧਰਦੀਂ,E dh a r d i ng
ਐਧਰਦਿਓਂ,E dh a r d i o ng
ਐਧਰਦੋਂ,E dh a r d o ng
ਐਦੋਂ,E d o ng
ਐਦੂਂ,E d uu ng
ਐਹਣ,E h a nn
ਐਹਿਣ,E h i nn
ਐਹਰਨ,E h r a n
ਐਈ,E i
ਐਂ,E ng
ਐਣ,E n
ਐਨ,E n
ਐਈਂ,E ng
ਐਨਕ,E n a k
ਐਂਨਾਂ,E ng aa n
ਐਂਨੀਂ,E ng ii ng
ਐਂਦਿਓਂ,E n d i o n
ਐਂਦੋਂ,E ng d o n
ਐਂਸ,E ng s
ਐਂਸੁ,E ng sh
ਐਂਟ,E ng tt
ਐਂਠ,E n tth
ਐਂਠਣਾ,E ng tth nn aa
ਐਪਰ,E p a r
ਐਡ਼ਾ,E rr aa
ਆਇਰਾ,aa i r aa
ਐਰਾ,E r aa
ਐਰਣ,E r a nn
ਐਸ,E s
ਐਸਾ,E s aa
ਐਸੁ,E sh
ਐਸੀ,E s ii
ਐਸੋ,E s o
ਐਤ,E t
ਐਥੇ,E th e
ਐਥੋਂ,E th o ng
ਐਤਨਾ,E t n aa
ਐਤਨੀ,E t n ii
ਐਤਮਵਾਰ,E t v aa r
ਐਓਂ,E u ng
ਐਵੇਂ,E v e ng
ਅਜਬ,a j a b
ਅਜਾਬ,a j aa b
ਅਜਢੱ,a j a dd ddh
ਅਜਾਈਂ,a j aa ii ng
ਆਜਜ,aa j a j
ਆਜਜੀ,aa j a j ii
ਅਜਲ,a j a l
ਅਜਾਂ,a j aa ng
ਅਜਨ,a j a n
ਅਜਪੱ,a j a p p
ਅਜਾਰ,a j aa r
ਅਜਾਰਾ,a j aa r aa
ਅਜਾਰਨ,a j aa r a n
ਅਜਾਰੀ,a j aa r ii
ਆਜਡ਼ੀ,aa j a rr ii
ਅਜਾਤ,a j aa t
ਅਜਾਯਾ,a j aa y aa
ਅਜੇ,a j e
ਅਜੇਹਾ,a j e h aa
ਅਜਗ਼ੈਬ,a j g E b
ਅਜਗਰ,a j g a r
ਅਝਕ,aa jh a k
ਅਝਕਣਾ,a jh a k nn aa
ਅਜਿਹਾ,a j i h aa
ਅਜੀਰਨ,a j ii r a n
ਅਜੀਤ,a j ii t
ਅਜੀਟਨ,a j ii tt a n
ਅਜੀਉਕਾ,a j ii u k aa
ਆਜੀਉਕਾ,aa j ii u k aa
ਅਜੀਵ,a j ii v
ਅੱਜ,a j j
ਅਜੱਡ਼,a j j a r
ਅੱਜੋ,a j j o
ਅੱਜੋਂ,a j j o ng
ਅਜਮਾਉਣਾ,a j m aa u nn aa
ਅਜੋਗ,a j o g
ਅਜੋਡ਼,a j o rr
ਅਜਵਾਇਣ,a j v aa i nn
ਅਕਾਦਮੀ,aa k aa d s ii
ਅਕਾਹਟ,a k aa h a tt
ਅਕਹਰ,a k a h r
ਅਕਹਰਾ,a k a h r aa
ਅਕਹਰੀ,a k a h r ii
ਅਕਾਜ,a k aa j
ਅਕਾਲ,a k aa l
ਅਕਾਲਣ,a k aa l a nn
ਅਕਾਲੀ,a k aa l ii
ਅਕਾਲੀਆ,a k aa l ii aa
ਅਕਲੱ,a k a l l
ਅਕਾਨਵੇਂ,a k aa n v e ng
ਆਕਡ਼,aa k a rr
ਆਕਰ,aa k a r
ਅਕਡ਼,a k a rr
ਆਕਾਰ,aa k aa r
ਅਕਾਰ,a k aa r
ਅਕਾਰਾ,a k aa r aa
ਆਕਰਾ,aa k a r aa
ਅਕਾਰਥ,a k aa r a th
ਅਕਰਕਰਾ,a k a r k a r a
ਆਕਡ਼ਨਾ,aa k a rr n aa
ਅਕਡ਼ਨਾ,a k a rr n aa
ਅਕਡ਼ਨ,a k a rr n
ਅਕਾਸ,a k aa s
ਆਕਾਸ,aa k aa s
ਅਕਾਸੀ,a k aa s aa
ਅਕਾਤਸੀ,a k aa t s ii
ਅਕਤੱਰ,a k a t t a r
ਅਕਥੱ,a k a t th
ਅਕਠੱ,a k a tt tth
ਅਕਠਾੱ,a k a tt tth aa
ਅਕੱਤੀ,a k a t t ii
ਅਕਾਉਣਾ,a k aa u nn aa
ਅਕਬਾਲ,a k b aa l
ਅਕਬਾਲੀ,a k b aa l ii
ਅਕਬਤ,a k b a t
ਅਕਦ,a k d
ਅਕੇ,a k e
ਅਕੇਂਰੀ,a k e r ii ng
ਅਖੈ,a kh E
ਅਖਾਲਣ,a kh aa l a nn
ਆਖਣ,aa kh a nn
ਅਖਾਣ,a kh aa nn
ਅਖੰਡ,a kh a ng d
ਆਖਰ,aa kh a r
ਅਖਾਡ਼ਾ,a kh aa rr aa
ਅਖਾਡ਼ਹਾ,a kh aa rrh aa
ਖਾਡ਼ਹਾ,kh aa rrh aa
ਆਖਰੀ,aa kh a r ii
ਆਖੀਰੀ,aa kh ii r ii
ਆਖਤ,aa kh a t
ਅਕਹਤੱਰ,a k - h a t t a r
ਅਖਾਉਤ,a kh aa u t
ਅਖੀਰ,a kh e
ਅਖੇ,aa kh ii
ਆਖਯਾ,aa kh y aa
ਅਖੀਰ,a kh ii r
ਆਖਣਾ,aa kh nn aa
ਅਖੋਨਾ,a kh o ng aa
ਆਖਰਤ,aa kh r a t
ਅਖਰੋਟ,a kh r o tt
ਅਖਸਰ,a kh s a r
ਅਖਤਾ,a kh t aa
ਅਖਤਆਰ,a kh t y aa r
ਅਖੁੱਟ,a kh u tt tt
ਅਖਵਾਨਾੱ,a kh v aa n n aa
ਆਕੀ,aa k ii
ਅਕੱ,a k k
ਅਕੱਲਕਾਨ,a k k a l k aa n
ਅਕੇੱਕਾਰ,k aa r
ਅਖੱ,a k kh
ਅੱਖਾ,a k kh aa
ਆਖਾੱ,aa k kh aa
ਅੱਖਰ,a k kh a r
ਅਕੱਣਾ,a k k nn aa
ਅਕਲ,a k l
ਅਕਲਾਪਾ,a k l aa p aa
ਅਕਲੀਆ,a k l ii aa
ਅਕਲੀਯਾ,a k l i y a
ਅਕੋਤਰਸੌ,a k o t a r s O
ਆਕਰਾ,aa k r aa
ਅਕਡ਼ੈਂਦ,a k rr E n d
ਅਕਡ਼ੈਂਧ,a k rr E ng dh
ਅਕਡ਼ਾਉ,a k rr aa o
ਅਕਡ਼ਾਉਣਾ,a k rr aa u nn aa
ਅਕਸਰ,a k s a r
ਅਕਤਾਲੀ,a k t aa l ii
ਅਕਵਾਕ,a k v aa k
ਅਕਵੰਜਾੱ,a k v a ng j j aa
ਅਕਵਾਸੀ,a k v aa s s i
ਆਲ,aa l
ਆਲਾ,aa l aa
ਅਲਾ,a l aa
ਅਲੱਭ,a l a b bh
ਅਲਗੱ,a l a g g
ਅਲਾਹੀ,a l aa h ii
ਅਲਾਹਣੀ,a l aa h nn ii
ਅਲਾਹੁਣ,a l aa h u nn
ਅਲਾਹੁਣੀ,a l aa h u nn ii
ਅਲਾਜ,a l aa j
ਅਲੱਜ,a l a j j
ਅਲਾਕਾ,a l aa k aa
ਅਲੱਖ,a l a k kh
ਆਲਮ,aa l a m
ਅਲੰਗ,a l a ng g
ਆਲੰਗ,aa l a ng g
ਆਲੰਗੱਣਾ,aa l a ng g g nn aa
ਅਲੰਕਾਰ,a l a ng k aa r
ਅਲੰਭਾ,a l a ng m bh aa
ਅਲਾਂਬਾ,a l aa ng bh aa
ਅਲਾਪ,a l aa p
ਆਲਾਪ,aa l aa p
ਅਲਾਪਣਾ,a l aa p nn aa
ਆਲਾਪਣਾ,aa l aa p nn aa
ਆਲਸ,aa l a s
ਆਲਸਣ,aa l a s a nn
ਆਲਸੀ,aa l a s i
ਅਲਾਸ,a l aa s
ਅਸਾਇਸ,a l aa i s
ਆਲਤ,aa l a t
ਅਲਾਵਣ,a l aa v a nn
ਅਲਾਵਣੀ,a l aa v a nn ii
ਅਲਬੇਲਾ,a l b e l aa
ਅਲਬੇਲੀ,a l b e l ii
ਆਲੇਦੁਆਲੇ,aa l e d u aa l e
ਅਲੇਲ,a l e l
ਅਲੇਤੀ,a l e t i
ਅਲਗਣ,a l g a nn
ਅਲਗਣੀ,a l g a nn ii
ਅਲਗਰਜ,a l g a r j
ਆਲਹਣਾ,aa l h nn aa
ਆਲਹੂਵਾਲੀਆ,aa l h uu v aa l i aa
ਆਲੀ,aa l ii
ਅਲੀ,a l ii
ਅਲੀਸ,a l ii s
ਆਲਜੰਜਾੱਲ,aa l - j a ng j j aa l
ਅਲਝਣਾ,a l jh a nn aa
ਅਲਝਾਉ,a l jh aa u
ਅਲਝਾਉਣਾ,a l jh aa u nn aa
ਅਲਕ,a l k
ਅਲਕਸ,a l k a s
ਅਲਕਸਣ,a l k a s a nn
ਅਲਕਸੀ,a l k a s ii
ਅਲਕਸੀਆ,a l k a s ii aa
ਅੱਲ,a l l
ਅੱਲਾ,a l l aa
ਅੱਲਾਹ,a l l aa h
ਅੱਲਣ,a l l a nn
ਅੱਲਹਡ਼,a l l h a rr
ਅੱਲੋਂ,a l l o ng
ਅਲਮਲ,a l m a l
ਅਲਮਾਰੀ,a l m aa r ii
ਅਲੋਪ,a l o p
ਅਲਪ,a l p
ਅਲਪੱਗ,a l p a g g
ਅਲਪਤਾ,a l p a t aa
ਅਲਸਣ,aa l s a nn
ਅਲਸਾਨਾ,a l s aa n aa
ਅਲਸੇਟ,a l s e tt
ਅਲਸੇਟਣ,l s e tt a nn
ਅਲਸੇਟੀ,a l s e tt ii
ਅਲਸੇਟੀਯਾ,a l s e tt ii y a
ਅਲਸੀ,a l s ii
ਆਲਸੀ,aa l s ii
ਅਲਤਾ,a l t aa
ਆਲੂ,aa l uu
ਅਲੂਚਾ,a l uu o h aa
ਅਲੂਣਾ,a l uu nn aa
ਆਮ,aa m
ਅਮਲਣ,a m a l a nn
ਅਮਲੀ,a m a l ii
ਅੱਮਲਕ,a m a l l a k
ਅਮੱਲਕੇ,a m a l l k e
ਅਮੱਲਕਡ਼ੇ,a m a l l k a rr e
ਅਮਾਮ,a m aa m
ਅਮਾਮਾ,a m aa m aa
ਅਮਾਨ,a m aa n
ਅਮਣ,a m a nn
ਅਮੱਨਾ,a m a n n aa
ਅਮਰ,a m a r
ਅਮਾਰਤ,a m aa r a t
ਅਮਾਰੀ,a m aa r i
ਅਮੱਸਿਆ,a m a s s i a
ਅਮਾਉਸ,a m aa u s
ਅੰਬ,a m b
ਅੰਬਾਹ,a m b aa h
ਅੰਬਾਖਡ਼ੀ,a m b aa kh rr ii
ਅੰਬਲੀ,a m b l i
ਅੰਬਲਤਾਸ,a m b a l t aa s
ਅੰਬਰ,a m b a r
ਅੰਬਾਰਤ,a m b aa r a t
ਅੰਬਰੀ,a m b a r ii
ਅੰਬਡ਼ੀ,a m b rr ii
ਅੰਬਾਰੀ,a m b aa r ii
ਅੰਬਾਟ,a m b aa tt
ਅੰਬਾਉ,a m b aa u
ਅੰਬਾਉਣਾ,a m b aa u nn aa
ਅੰਬੀ,a m b ii
ਅੰਬੀਆਹਲਦੀ,a m b ii aa - h a l d ii
ਅੰਬੀਰ,a m b ii r
ਅੰਬੀਰੀ,a m b ii r ii
ਅੰਬਜਾਣਾ,a m b j aa nn aa
ਅੰਬਣਾ,a m b nn aa
ਅੰਬੋਹ,a m b o h
ਅੰਬੋਹੀ,a m b o h ii
ਅੰਬਰਤ,a m b r a t
ਅੰਬਰਿਤ,a m b r i t
ਅੰਬਰਤੀ,a m b r a t ii
ਅੰਬਰਿਤੀ,a m b r i t ii
ਅੰਬੂਆ,a m b uu aa
ਅਮੇਟ,a m e t
ਆਮ੍ਹਣਿਓਂ,s aa m h nn i o ng
ਆਮ੍ਹੋਸਾਮਹਣਾ,s aa m h nn aa
ਆਮੀਆਂ,aa m ii aa ng
ਆਮੀਂ,aa m ii ng
ਅਮੀਰ,a m ii r
ਅਮੀਰੀ,a m ii r ii
ਅਮਿਟ,a m i tt
ਅਮਕਾ,a m k aa
ਅਮਲਾ,a m l aa
ਅਾਮਲਾ,aa m l aa
ਅੱਮਾ,a m m aa
ਅੱਮਾਂ,a m m aa ng
ਅੱਮਲਤਾਸ,a m m a l t aa s
ਆਮਣਾ,aa m nn aa
ਅਮੋਲ,a m o l
ਅਮੋਲਕ,a m o l a k
ਅਮਰਤ,a m r a t
ਅਮਰਿਤ,a m r i t
ਅਮਡ਼ੀ,a m rr i
ਅਮਰਿਤੀ,a m r i t ii
ਅਮੂਹਡ਼,a m uu h rr
ਅਮੂਹੁਡ਼,a m uu h u rr
ਅਮੁੱਕ,a m u k k
ਅਮੂਲ,a m uu l
ਅਮੂੱਲ,a m u l l
ਆਮੁਰਾਦੀ,aa m u r aa d ii
ਆਨ,aa n
ਅਨਾਦਰ,aa n aa d a r
ਅਨਾਈ,a n aa ii
ਅਨਾਜ,a n aa j
ਆਨਾਂ,aa n aa ng
ਆਨੰਦ,aa n a ng d
ਅਨੰਦ,a n a ng d
ਅਨੰਦੀ,a n a ng d ii
ਆਨੰਦੀ,aa n a ng d ii
ਅਨੰਦਤਾਈ,a n a ng d t aa ii
ਅਨਾਨੀਤ,a n aa n ii t
ਅਨੰਤ,a n a ng t
ਅਨੰਤਰ,a n a nn a t r
ਅਨਾਰ,a n aa r
ਅਨਾਡ਼ਣ,a n aa rr a nn
ਅਨਾਡ਼ਬਿੱਦਯਾ,a n aa rr b i d d y aa
ਅਨਾਡ਼ਵਿੱਦਯਾ,a n aa rr v i d d y aa
ਅਨਾਡ਼ੀ,a n aa rr ii
ਅਨਾਡ਼ਪੁਣਾ,a n aa rr p u nn aa
ਅਨ੍ਥ,a n a r th
