ਆ,Á
ਆਧਾਰ,ÁDHÁR
ਅਧਰਮ,ADHARM
ਅਧਰਮਣ,ADHARMAṈ
ਅਧਰਮੀ,ADHARMÍ
ਅਧਰਮਤਾਈ,ADHARMTÁÍ
ਅਧੇਲਾ,ADHELÁ
ਅਧੇਡ਼,ADHEṚ
ਆਧੀ,ÁDHÍ
ਆਧੀਲ,ÁDHIL
ਅਧੀਣ,ADHÍṈ
ਆਧੀਣ,ÁDHÍṈ
ਅਧੀਣਤਾਈ,ADHÍṈTÁÍ
ਅਧਕਾਰ,ADHKÁR
ਅਧਕਾਰਣ,ADHKÁRAṈ
ਅਧਕਾਰੀ,ADHKÁRÍ
ਅਧਲਾਪਾ,ADHLĀPĀ
ਅਧਲਾਪੀ,ADHLĀPI
ਅਧਲੋਪੀ,ADHLOPI
ਅਧਮੂਲ,ADHMÚL
ਆਢਣਾ,ĀḌHṈĀ
ਅਧੋਰਨ,ADHORAN
ਅਧੋਰਨਾ,ADHORNĀ
ਅਧਰਾਜ,ADHRĀJ
ਅਧਰਕ,ADHRAK
ਅਧਰੰਗ,ADHRAṆG
ਅਧਰੰਗੱਣ,ADHRAṆG-GAṈ
ਅਧਰੰਗੀ,ADHRAṆGGI
ਅਧਰਸ,ADHRAS
ਅਧਰਾਤਾ,ADHRĀTĀ
ਅਧਸਾਲੀ,ADHSĀLI
ਅਧੂਰਾ,ADHŪRĀ
ਅਧੂਤ,AḊHÚT
ਅਧੂਤਣੀ,ADHÚTAṈI
ਅਧੁਆਡ਼,ADHUĀṚ
ਅੰਧਵਾਡ਼,ADHWĀṚ
ਅਧਯਾਰਾ,ADHYĀRĀ
ਅਦਿਸਟ,ADISṬ
ਅਡਿੱਠ,AḌIṬṬH
ਅਦਰਕ,ADKAR
ਅਦਲੀ,ADLI
ਅਡਲੂਣ,AḌLÚṈ
ਆਦਮੀ,ÁDMĪ
ਅਦਨਾ,ADNĀ
ਅਡੋਲ,AḌOL
ਅਦਰਕ,ADRAK
ਅਦਰਸ,ADRAS
ਅਦਰੱਸਾ,ADRASSĀ
ਅਦੁਆਈਣ,ADUĀIṈ
ਅਦਵਾਈਣ,ADWĀIṈ
ਅਦਵਾਣ,ADWĀṈ
ਅਦੂਲ,ADÚL
ਅਫਾਤ,AFĀT
ਆਫਤ,ĀFAT
ਅਫੀਮ,AFĪM
ਅਫੀਮਣ,AFĪMAṈ
ਅਫੀਮੀ,AFĪMĪ
ਅਫਲਾਤੂਣ,AFLĀTÚṈ
ਅਫਲਾਤੂ,AFLĀTÚṆ
ਅਫਰਾਦਫਰੀ,AFRĀDAFRĪ
ਅਫਰਾਤਫਰੀ,AFRĀTAFRĪ
ਅਫਰਾਓਂ,AFRĀOṆ
ਅਫਰੋਈ,AFROĪ
ਅਫਰੋਈਂ,AFROĪṆ
ਅਫਰੀ,AFRĪ
ਅਫਰੀਣ,AFRĪṈ
ਅਫਰੀਂ,AFRĪṆ
ਅਫਸੋਸ,AFSOS
ਆਫਤਾਬਾ,ĀFTĀBĀ
ਅਫੁਆਹ,AFUĀH
ਅਫਵਾਹ,AFWĀH
ਆਗ,ĀG
ਅਗਦ,AGAD
ਅਗਾਧ,AGĀDH
ਅਗਾਹਾਂ,AGĀHĀṆ
ਅਗਲ,BAGAL
ਅਗਮ,AGAM
ਅਗੱਮ,AGAMM
ਅਗਣ,AGAṈ
ਅਗਾਂ,AGĀṆ
ਅਗਾਂਹ,AGĀṆH
ਅਗਾਂਹਾਂ,AGĀNHĀṆ
ਅਗਣਤ,AGAṈT
ਅਗਰ,AGAR
ਅਗਾਡ਼ੇ,AGĀṚE
ਅਗਾਡ਼ੀ,AGĀṚI
ਅਗਾਸ,AGĀS
ਅਗਸਤ,AGAST
ਆਗਤ,ĀGAT
ਅਗਾਊ,AGĀŪ
ਆਗਊਂ,AGĀÚṆ
ਆਗੇ,ĀGE
ਅਗੇਡੇ,PICHHEḌE
ਅਗੇਰੇ,AGERE
ਅਗੇਤ,AGET
ਅਗੇਤਾ,AGETA
ਅਗੇਤਰੇ,AGETARE
ਅੱਗ,AGG
ਅੱਗਾਂ,AGGĀ
ਅੱਗਲਵਾਂਢੀ,AGGALWĀṆḌHÍ
ਅੱਗਰ,AGGAR
ਅਗੱਡ਼ਪਿੱਛਡ਼,PICHCHHAṚ
ਅੱਗੇ,AGGE
ਅਗਿਓਂ,AGGIOṆ
ਅੱਗੋਂ,AGGOṆ
ਅੱਗਾਯਾ,ĀGGYĀ
ਅਗੱਯਾਨ,AGGYĀN
ਅੱਗਯਾਨਣ,AGGYĀNAṈ
ਅੱਗਯਾਨੀ,AGGYĀNÍ
ਅੱਗਯਾਨਤਾਈ,ĀGGYĀNTĀÍ
ਅਘ,AGH
ਅਘਾਲਣ,AGHĀLAṈ
ਅਘਾਲਣਾ,AGHÁLṈĀ
ਅਘਡ਼ਣ,AGHAṚAṈ
ਅਘਡ਼ੀ,AGHAṚÍ
ਅਘਡ਼ਪੁਣਾ,AGHARPUṈĀ
ਅਘਾਵਨ,AGHĀWAN
ਅਗਲਾ,AGLĀ
ਅਗਲੇਰਾ,AGLERĀ
ਅਗਲੇਰੀ,AGLERI
ਅਗਲੀ,AGLI
ਅਗਲੀ,AGLĪ
ਅਗਮਾਨ,AGMĀN
ਅਗੋਚਰ,AGOCHAR
ਅਗੋਲਣਾ,AGOLṈĀ
ਅਗਰਾਹੇਜਾਣਾ,AGRĀHEJĀṈĀ
ਅਗਰਾਹੁਣਾ,AGRĀHUṈĀ
ਆਗੂ,ĀGU
ਅਗਵਾਹਾ,AGWĀHĀ
ਅਗਵਾਨ,AGWĀN
ਅਗਵਾਡ਼ਾ,AGWĀṚÁ
ਅਗਵਾਡ਼ੀ,AGWĀṚÍ
ਅਗਯਾਨ,AGYÁN
ਅਗਯਾਨੀ,AGYĀNÍ
ਅਹ,AH
ਆਹ,ĀH
ਆਹਾ,ĀHĀ
ਅਹਾਹਾ,AHĀHĀ
ਆਹਲ,JAHĀ
ਅਹਲੀ,ĀHAL
ਅਹਲੀ,AHALI
ਅਹਾਲੀ,AHĀLI
ਅਹਾਂ,AHĀN
ਆਹਣ,ĀHAṈ
ਅਹੰਕਾਰ,AHANGKĀR
ਅਹੰਕਾਰਣ,AHANGKĀRAṈ
ਅਹੰਕਾਰੀ,AHAṆGKĀRÍ
ਅਹਾਰ,AHĀR
ਆਹਰ,ĀHAR
ਆਹਰੀ,ĀHARI
ਅਹਾਰੀ,AHĀRI
ਆਹਭੂ,ÁHBHÚ
ਅਹਬੂ,AHBU
ਆਹਬੂ,ĀHBŪ
ਅਹਡਾ,AHḌĀ
ਆਹਡਾ,ĀHḌĀ
ਆਹੇ,ĀHE
ਆਹੀ,ĀHĪ
ਅਹੀਂ,ĀHÍṆ
ਆਹਿਣ,ĀHIṈ
ਅਹਲਕ,AHLAK
ਆਹਲਕ,ĀHLAK
ਆਹਲਕਣ,AHLAKAN
ਅਹਲਕੀ,ĀHLAKAṈ
ਆਹਲਕੀ,AHLAKÍ
ਆਹਲਣਾ,ÁHLAṈĀ
ਆਹਲੂਵਾਲੀਆ,ĀHLÚWĀLĪĀ
ਅਹਮਦ,AHMAD
ਆਹਮਣਾ,SĀHMAṈĀ
ਸਾਹਮਣਾ,SĀHMAṈĀ
ਆਹਣਾ,ĀHṈĀ
ਆਹੋ,ĀHO
ਆਹਰਣ,ĀHRAṈ
ਅਹਰਣ,AHRAṈ
ਆਹਡ਼ਤ,ĀHṚAT
ਅਹਡ਼ਤ,AHṚAT
ਅਹਡ਼ਤਣ,AHṚATAṈ
ਆਹਡ਼ਤਣ,ĀHṚATAṈ
ਅਹਡ਼ਤੀ,AHṚATÍ
ਆਹਡ਼ਤੀ,ĀHṚATÍ
ਅਹਡ਼ਤੀਆ,AHṚATÍĀ
ਆਹਡ਼ਤੀਆ,ĀHṚATÍĀ
ਆਹਤਰਾਫੀ,AHTARĀFÍ
ਆਹੁਲਾ,ĀHULĀ
ਆਹੂਲਹਣਾ,ĀHÚLAHṈĀ
ਆਹੂਲਾਹੁਣਾ,ĀHÚLĀHUṈĀ
ਆਹੁਰ,ĀHUR
ਐ,AI
ਐਬ,AIB
ਐਬਣ,AIBAṈ
ਐਬੀ,AIBÍ
ਐਡ,AIḌ
ਐਡਾ,AIḌĀ
ਐਧਰ,AIDHAR
ਐਧਰਦੀਂ,AIDHARDIṆ
ਐਧਰਦਿਓਂ,AIDHARDIOṆ
ਐਧਰਦੋਂ,AIDHARDOṆ
ਐਦੋਂ,AIDOṆ
ਐਦੂਂ,AIDÚṆ
ਐਹਣ,AIHAṈ
ਐਹਿਣ,AIHIṈ
ਐਹਰਨ,AIHRAN
ਐਈ,AII
ਐਂ,AIṆ
ਐਣ,AIN
ਐਨ,AIN
ਐਈਂ,AIṆ
ਐਨਕ,AINAK
ਐਂਨਾਂ,AIṆĀN
ਐਂਨੀਂ,AIṆÍṆ
ਐਂਦਿਓਂ,AINDION
ਐਂਦੋਂ,AIṆDON
ਐਂਸ,AIṆS
ਐਂਸੁ,AIṆSH
ਐਂਟ,AIṆṬ
ਐਂਠ,AINṬH
ਐਂਠਣਾ,AIṆṬHṈĀ
ਐਪਰ,AIPAR
ਐਡ਼ਾ,AIṚĀ
ਆਇਰਾ,ĀIRĀ
ਐਰਾ,AIRĀ
ਐਰਣ,AIRAṈ
ਐਸ,AIS
ਐਸਾ,AISĀ
ਐਸੁ,AISH
ਐਸੀ,AISÍ
ਐਸੋ,AISO
ਐਤ,AIT
ਐਥੇ,AITHE
ਐਥੋਂ,AITHOṆ
ਐਤਨਾ,AITNÁ
ਐਤਨੀ,AITNĪ
ਐਤਮਵਾਰ,AITWĀR
ਐਓਂ,AIUṆ
ਐਵੇਂ,AIVEṆ
ਅਜਬ,AJAB
ਅਜਾਬ,AJĀB
ਅਜਢੱ,AJAḌḌH
ਅਜਾਈਂ,AJĀĪṆ
ਆਜਜ,ĀJAJ
ਆਜਜੀ,ĀJAJĪ
ਅਜਲ,AJAL
ਅਜਾਂ,AJĀṆ
ਅਜਨ,AJAN
ਅਜਪੱ,AJAPP
ਅਜਾਰ,AJĀR
ਅਜਾਰਾ,AJÁRÁ
ਅਜਾਰਨ,AJĀRAN
ਅਜਾਰੀ,AJĀRĪ
ਆਜਡ਼ੀ,ÁJAṚĪ
ਅਜਾਤ,AJÁT
ਅਜਾਯਾ,AJĀYĀ
ਅਜੇ,AJE
ਅਜੇਹਾ,AJEHĀ
ਅਜਗ਼ੈਬ,AJGAIB
ਅਜਗਰ,AJGAR
ਅਝਕ,ĀJHAK
ਅਝਕਣਾ,AJHAKṈĀ
ਅਜਿਹਾ,AJIHĀ
ਅਜੀਰਨ,AJÍRAN
ਅਜੀਤ,AJÍT
ਅਜੀਟਨ,AJÍṬAN
ਅਜੀਉਕਾ,AJÍUKĀ
ਆਜੀਉਕਾ,ĀJÍUKĀ
ਅਜੀਵ,AJĪV
ਅੱਜ,AJJ
ਅਜੱਡ਼,AJJAR
ਅੱਜੋ,AJJO
ਅੱਜੋਂ,AJJOṆ
ਅਜਮਾਉਣਾ,AJMĀUṈĀ
ਅਜੋਗ,AJOG
ਅਜੋਡ਼,AJOṚ
ਅਜਵਾਇਣ,AJWĀIṈ
ਅਕਾਦਮੀ,ĀKĀDSÍ
ਅਕਾਹਟ,AKÁHAṬ
ਅਕਹਰ,AKAHR
ਅਕਹਰਾ,AKAHRÁ
ਅਕਹਰੀ,AKAHRÍ
ਅਕਾਜ,AKĀJ
ਅਕਾਲ,AKĀL
ਅਕਾਲਣ,AKĀLAṈ
ਅਕਾਲੀ,AKĀLĪ
ਅਕਾਲੀਆ,AKĀLÍĀ
ਅਕਲੱ,AKALL
ਅਕਲਾੱ,AKA&amp;LmacrLĀ
ਅਕਾਨਵੇਂ,AKĀNWEṆ
ਆਕਡ਼,ĀKAṚ
ਆਕਰ,ĀKAR
ਅਕਡ਼,AKAṚ
ਆਕਾਰ,ĀKĀR
ਅਕਾਰ,AKĀR
ਅਕਾਰਾ,AKĀRĀ
ਆਕਰਾ,ĀKARĀ
ਅਕਾਰਥ,AKĀRATH
ਅਕਰਕਰਾ,AKARKARA
ਆਕਡ਼ਨਾ,ĀKAṚNĀ
ਅਕਡ਼ਨਾ,AKAṚNĀ
ਅਕਡ਼ਨ,AKAṚN
ਅਕਾਸ,AKĀS
ਆਕਾਸ,ĀKĀS
ਅਕਾਸੀ,AKĀSÁ
ਅਕਾਤਸੀ,AKĀTSÍ
ਅਕਤੱਰ,AKATTAR
ਅਕਥੱ,AKATTH
ਅਕਠੱ,AKAṬṬH
ਅਕਠਾੱ,AKAṬṬHĀ
ਅਕੱਤੀ,AKATTÍ
ਅਕਾਉਣਾ,AKĀUṈĀ
ਅਕਬਾਲ,AKBĀL
ਅਕਬਾਲੀ,AKBĀLÍ
ਅਕਬਤ,AKBAT
ਅਕਦ,AKD
ਅਕੇ,AKE
ਅਕੇਂਰੀ,AKERÍṆ
ਅਖੈ,AKHAI
ਅਖਾਲਣ,AKHĀLAṈ
ਆਖਣ,ĀKHAṈ
ਅਖਾਣ,AKHĀṈ
ਅਖੰਡ,AKHAṆD
ਆਖਰ,ĀKHAR
ਅਖਾਡ਼ਾ,AKHĀṚĀ
ਅਖਾਡ਼ਹਾ,AKHĀṚHĀ
ਖਾਡ਼ਹਾ,KHĀṚHĀ
ਆਖਰੀ,ĀKHARĪ
ਆਖੀਰੀ,ĀKHÍRÍ
ਆਖਤ,ĀKHAT
ਅਕਹਤੱਰ,AK-HATTAR
ਅਖਾਉਤ,AKHĀUT
ਅਖੀਰ,AKHE
ਅਖੇ,ĀKHÍ
ਆਖਯਾ,ĀKHYĀ
ਅਖੀਰ,AKHÍR
ਆਖਣਾ,ĀKHṈĀ
ਅਖੋਨਾ,AKHOṆĀ
ਆਖਰਤ,ĀKHRAT
ਅਖਰੋਟ,AKHROṬ
ਅਖਸਰ,AKHSAR
ਅਖਤਾ,AKHTĀ
ਅਖਤਆਰ,AKHTYĀR
ਅਖੁੱਟ,AKHUṬṬ
ਅਖਵਾਨਾੱ,AKHWĀNNĀ
ਆਕੀ,ĀKĪ
ਅਕੱ,AKK
ਅਕੱਲਕਾਨ,AKKALKĀN
ਅਕੇੱਕਾਰ,KĀR
ਅਖੱ,AKKH
ਅੱਖਾ,AKKHĀ
ਆਖਾੱ,ÁKKHĀ
ਅੱਖਰ,AKKHAR
ਅਕੱਣਾ,AKKṈĀ
ਅਕਲ,AKL
ਅਕਲਾਪਾ,AKLĀPĀ
ਅਕਲੀਆ,AKLÍĀ
ਅਕਲੀਯਾ,AKLIYA
ਅਕੋਤਰਸੌ,AKOTARSAU
ਆਕਰਾ,ĀKRĀ
ਅਕਡ਼ੈਂਦ,AKṚAIND
ਅਕਡ਼ੈਂਧ,AKṚAIṆDH
ਅਕਡ਼ਾਉ,AKṚĀO
ਅਕਡ਼ਾਉਣਾ,AKṚĀUṈĀ
ਅਕਸਰ,AKSAR
ਅਕਤਾਲੀ,AKTĀLÍ
ਅਕਵਾਕ,AKWĀK
ਅਕਵੰਜਾੱ,AKWAṆJJĀ
ਅਕਵਾਸੀ,AKWĀSSI
ਆਲ,ĀL
ਆਲਾ,ĀLĀ
ਅਲਾ,ALĀ
ਅਲੱਭ,ALABBH
ਅਲਗੱ,ALAGG
ਅਲਾਹੀ,ALĀHÍ
ਅਲਾਹਣੀ,ALĀHṈĪ
ਅਲਾਹੁਣ,ALĀHUṈ
ਅਲਾਹੁਣੀ,ALĀHUṈÍ
ਅਲਾਜ,ALĀJ
ਅਲੱਜ,ALAJJ
ਅਲਾਕਾ,ALĀKĀ
ਅਲੱਖ,ALAKKH
ਆਲਮ,ĀLAM
ਅਲੰਗ,ALAṆG
ਆਲੰਗ,ĀLAṆG
ਆਲੰਗੱਣਾ,ĀLAṆGGṈĀ
ਅਲੰਕਾਰ,ALAṆKĀR
ਅਲੰਭਾ,ALAṆMBHĀ
ਅਲਾਂਬਾ,ALĀṆBHĀ
ਅਲਾਪ,ALĀP
ਆਲਾਪ,ĀLĀP
ਅਲਾਪਣਾ,ALĀPṈĀ
ਆਲਾਪਣਾ,ĀLĀPṈĀ
ਆਲਸ,ĀLAS
ਆਲਸਣ,ĀLASAṈ
ਆਲਸੀ,ĀLASI
ਅਲਾਸ,ALĀS
ਅਸਾਇਸ,ALĀIS
ਆਲਤ,ĀLAT
ਅਲਾਵਣ,ALĀWAṈ
ਅਲਾਵਣੀ,ALĀWAṈĪ
ਅਲਬੇਲਾ,ALBELĀ
ਅਲਬੇਲੀ,ALBELĪ
ਆਲੇਦੁਆਲੇ,ĀLEDUĀLE
ਅਲੇਲ,ALEL
ਅਲੇਤੀ,ALETI
ਅਲਗਣ,ALGAṈ
ਅਲਗਣੀ,ALGAṈĪ
ਅਲਗਰਜ,ALGARJ
ਆਲਹਣਾ,ĀLHṈĀ
ਆਲਹੂਵਾਲੀਆ,ĀLHÚWĀLIĀ
ਆਲੀ,ĀLĪ
ਅਲੀ,ALĪ
ਅਲੀਸ,ALÍS
ਆਲਜੰਜਾੱਲ,ĀL-JAṆJJĀL
ਅਲਝਣਾ,ALJHAṈĀ
ਅਲਝਾਉ,ALJHĀU
ਅਲਝਾਉਣਾ,ALJHĀUṈĀ
ਅਲਕ,ALK
ਅਲਕਸ,ALKAS
ਅਲਕਸਣ,ALKASAṈ
ਅਲਕਸੀ,ALKASĪ
ਅਲਕਸੀਆ,ALKASĪĀ
ਅੱਲ,ALL
ਅੱਲਾ,ALLĀ
ਅੱਲਾਹ,ALLĀH
ਅੱਲਣ,ALLAṈ
ਅੱਲਹਡ਼,ALLHAṚ
ਅੱਲੋਂ,ALLOṆ
ਅਲਮਲ,ALMAL
ਅਲਮਾਰੀ,ALMĀRĪ
ਅਲੋਪ,ALOP
ਅਲਪ,ALP
ਅਲਪੱਗ,ALPAGG
ਅਲਪਤਾ,ALPATĀ
ਅਲਸਣ,ĀLSAṈ
ਅਲਸਾਨਾ,ALSĀNĀ
ਅਲਸੇਟ,ALSEṬ
ਅਲਸੇਟਣ,LSEṬAṈ
ਅਲਸੇਟੀ,ALSEṬĪ
ਅਲਸੇਟੀਯਾ,ALSEṬĪYA
ਅਲਸੀ,ALSÍ
ਆਲਸੀ,ĀLSĪ
ਅਲਤਾ,ALTĀ
ਆਲੂ,ĀLÚ
ਅਲੂਚਾ,ALÚOHĀ
ਅਲੂਣਾ,ALÚṈĀ
ਆਮ,ĀM
ਅਮਲਣ,AMALAṈ
ਅਮਲੀ,AMALĪ
ਅੱਮਲਕ,AMALLAK
ਅਮੱਲਕੇ,AMALLKE
ਅਮੱਲਕਡ਼ੇ,AMALLKAṚE
ਅਮਾਮ,AMĀM
ਅਮਾਮਾ,AMĀMĀ
ਅਮਾਨ,AMĀN
ਅਮਣ,AMAṈ
ਅਮੱਨਾ,AMANNĀ
ਅਮਰ,AMAR
ਅਮਾਰਤ,AMĀRAT
ਅਮਾਰੀ,AMĀRI
ਅਮੱਸਿਆ,AMASSIA
ਅਮਾਉਸ,AMĀUS
ਅੰਬ,AMB
ਅੰਬਾਹ,AMBĀH
ਅੰਬਾਖਡ਼ੀ,AMBĀKHṚĪ
ਅੰਬਲੀ,AMBLI
ਅੰਬਲਤਾਸ,AMBALTĀS
ਅੰਬਰ,AMBAR
ਅੰਬਾਰਤ,AMBĀRAT
ਅੰਬਰੀ,AMBARĪ
ਅੰਬਡ਼ੀ,AMBṚĪ
ਅੰਬਾਰੀ,AMBĀRĪ
ਅੰਬਾਟ,AMBĀṬ
ਅੰਬਾਉ,AMBĀU
ਅੰਬਾਉਣਾ,AMBĀUṈĀ
ਅੰਬੀ,AMBĪ
ਅੰਬੀਆਹਲਦੀ,AMBĪĀ-HALDĪ
ਅੰਬੀਰ,AMBĪR
ਅੰਬੀਰੀ,AMBĪRĪ
ਅੰਬਜਾਣਾ,AMBJĀṈĀ
ਅੰਬਣਾ,AMBṈĀ
ਅੰਬੋਹ,AMBOH
ਅੰਬੋਹੀ,AMBOHĪ
ਅੰਬਰਤ,AMBRAT
ਅੰਬਰਿਤ,AMBRIT
ਅੰਬਰਤੀ,AMBRATĪ
ਅੰਬਰਿਤੀ,AMBRITĪ
ਅੰਬੂਆ,AMBÚĀ
ਅਮੇਟ,AMET
ਆਮ੍ਹਣਿਓਂ,SĀMHṈIOṆ
ਆਮ੍ਹੋਸਾਮਹਣਾ,SĀMHṈĀ
ਆਮੀਆਂ,ĀMĪĀṆ
ਆਮੀਂ,ĀMĪṆ
ਅਮੀਰ,AMĪR
ਅਮੀਰੀ,AMĪRĪ
ਅਮਿਟ,AMIṬ
ਅਮਕਾ,AMKĀ
ਅਮਲਾ,AMLĀ
ਅਾਮਲਾ,ĀMLĀ
ਅੱਮਾ,AMMĀ
ਅੱਮਾਂ,AMMĀṆ
ਅੱਮਲਤਾਸ,AMMALTĀS
ਆਮਣਾ,ĀMṈĀ
ਅਮੋਲ,AMOL
ਅਮੋਲਕ,AMOLAK
ਅਮਰਤ,AMRAT
ਅਮਰਿਤ,AMRIT
ਅਮਡ਼ੀ,AMṚI
ਅਮਰਿਤੀ,AMRITĪ
ਅਮੂਹਡ਼,AMÙHṚ
ਅਮੂਹੁਡ਼,AMÙHUṚ
ਅਮੁੱਕ,AMUKK
ਅਮੂਲ,AMÙL
ਅਮੂੱਲ,AMULL
ਆਮੁਰਾਦੀ,ĀMURĀDĪ
ਆਨ,ĀN
