Word,Translit,Normalized
अंतरिम,antrim,a n t r i m
अँतरिया,ãtriyā,a ~ t r i y aa
अंतरीय,antrīya,a n t r ii y a
अँतरौटा,ãtrauṭā,a ~ t r O tt aa
अंतश्,antaś,a n t a sh
अंतस्,antas,a n t a s
अंतस्थ,antasth,a n t a s th
अंताराष्ट्रीय,antārāṣṭrīya,a n t aa r aa sh tt r ii y a
अंतिक,antik,a n t i k
अंतिम,antim,a n t i m
अंते,ante,a n t e
अंतेवासी,antevāsī,a n t e v aa s ii
अंत्य,anty,a n t y
अंत्र,antr,a n t r
अंदर,andar,a n d a r
अंदरसा,andarsā,a n d a r s aa
अंदरून,andrūn,a n d r uu n
अंदरुनी,andrunī,a n d r u n ii
अ़ंदाज़,अ़ndāz,अ ़ n d aa z
अंदाज़न,andāzan,a n d aa z a n
अंदाज़ा,andāzā,a n d aa z aa
अंदेशा,andeśā,a n d e sh aa
अंदोह,andoh,a n d o h
अंध,andh,a n dh
अंधकार,andhkār,a n dh k aa r
अंधड़,andhaṛ,a n dh a rr
अंधता,andhtā,a n dh t aa
अँधला,ãdhlā,a ~ dh l aa
अंधा,andhā,a n dh aa
अंधापन,andhāpan,a n dh aa p a n
अँधियार,ãdhiyār,a ~ dh i y aa r
अँधियारा,ãdhiyārā,a ~ dh i y aa r aa
अँधियारी,ãdhiyārī,a ~ dh i y aa r ii
अँधियाला,ãdhiyālā,a ~ dh i y aa l aa
अँधियाव,ãdhiyāv,a ~ dh i y aa v
अँधेर,ãdher,a ~ dh e r
अँधेरा,ãdherā,a ~ dh e r aa
अँधेरी,ãdherī,a ~ dh e r ii
अँधौरी,ãdhaurī,a ~ dh O r ii
अंब,amb,a m b
अंबक,ambak,a m b a k
अँबती,ãbtī,a ~ b t ii
अंबर,ambar,a m b a r
अंबर,ambar,a m b a r
अंबर,ambar,a m b a r
अँबराई,ãbrāī,a ~ b r aa ii
अंबरी,ambrī,a m b r ii
अंबल,ambal,a m b a l
अंबा,ambā,a m b aa
अंबाड़ा,ambāṛā,a m b aa rr aa
अंबार,ambār,a m b aa r
अंबारी,ambārī,a m b aa r ii
अंबालिका,ambālikā,a m b aa l i k aa
अँबासना,ãbāsnā,a ~ b aa s n aa
अंबिका,ambikā,a m b i k aa
अँबिया,ãbiyā,a ~ b i y aa
अंबु,ambu,a m b u
अँबोती,ãbotī,a ~ b o t ii
अंबोह,amboh,a m b o h
अंभ,ambh,a m bh
अँभौरी,ãbhaurī,a ~ bh O r ii
अंश,anś,a n sh
अंशक,anśak,a n sh a k
अंशी,anśī,a n sh ii
अंशुमान,anśumān,a n sh u m aa n
अंशुमाली,anśumālī,a n sh u m aa l ii
अंस,ans,a n s
अ,a,a
अऊत,aūt,a uu t
अकंटक,akaṇṭak,a k a n tt a k
अकंपन,akampan,a k a m p a n
अकंपित,akampit,a k a m p i t
अक,ak,a k
अकज,akaj,a k a j
अकड़,akaṛ,a k a rr
अकड़ना,akaṛnā,a k a rr n aa
अकड़ाना,akṛānā,a k rr aa n aa
अकड़ू,akṛū,a k rr uu
अकड़ैत,akṛait,a k rr E t
अकती,aktī,a k t ii
अकथ,akath,a k a th
अकथनीय,akathnīya,a k a th n ii y a
अकथित,akthit,a k th i t
अकथ्य,akathy,a k a th y
अकधक,akdhak,a k dh a k
अकन,akan,a k a n
अकबक,akbak,a k b a k
अकबकाना,akabkānā,a k a b k aa n aa
अकबत,akbat,a k b a t
अकबरी,akabrī,a k a b r ii
अकर,akar,a k a r
अकर,akar,a k a r
अकरण,akraṇ,a k r a n
अकरणीय,akarṇīya,a k a r n ii y a
अकरा,akrā,a k r aa
अकरा,akrā,a k r aa
अकरी,akrī,a k r ii
अकर्म,akarm,a k a r m
अकर्मक,akarmak,a k a r m a k
अकर्मण्य,akarmaṇy,a k a r m a n y
अकर्मण्यता,akarmaṇyatā,a k a r m a n y a t aa
अकर्मा,akarmā,a k a r m aa
अकर्मी,akarmī,a k a r m ii
अक़ल,aqal,a q a l
अकलंक,aklaṅk,a k l a ng k
अकलंकता,aklaṅktā,a k l a ng k t aa
अकलंकित,aklaṅkit,a k l a ng k i t
अकलंकी,aklaṅkī,a k l a ng k ii
अकल,akal,a k a l
अकल्पनीय,akalpanīya,a k a l p a n ii y a
अकल्पित,akalpit,a k a l p i t
अकल्याण,akalyāṇ,a k a l y aa n
अक़वाम,aqvām,a q v aa m
अकसर,aksar,a k s a r
अकसरियत,akasriyat,a k a s r i y a t
अकसीर,aksīr,a k s ii r
अकस्मात्,akasmāt,a k a s m aa t
अकाज,akāj,a k aa j
अकाजी,akājī,a k aa j ii
अकाट्य,akāṭy,a k aa tt y
अकादमी,akādmī,a k aa d m ii
अकाम,akām,a k aa m
अकामता,akāmtā,a k aa m t aa
अकामी,akāmī,a k aa m ii
अकार,akār,a k aa r
अकारण,akāraṇ,a k aa r a n
अकारत,akārat,a k aa r a t
अकारथ,akārath,a k aa r a th
अकाल,akāl,a k aa l
अकासनीम,akāsnīm,a k aa s n ii m
अकिंचन,akiñcan,a k i n ~ c a n
अक़ीक़,aqīq,a q ii q
अक़ीदत,aqīdat,a q ii d a t
अक़ीदा,aqīdā,a q ii d aa
अकीर्ति,akīrti,a k ii r t i
अकुंठ,akuṇṭh,a k u n tth
अकुल,akul,a k u l
अकुलाना,akulānā,a k u l aa n aa
अकुलाहट,akulāhaṭ,a k u l aa h a tt
अकुली,akulī,a k u l ii
अकुलीन,akulīn,a k u l ii n
अकुशल,akuśal,a k u sh a l
अकृत,akŕt,a k r i t
अकृतकार्य,akŕtkāry,a k r i t k aa r y
अकृतज्ञ,akŕtagy,a k r i t a g y
अकृतज्ञता,akŕtagyatā,a k r i t a g y a t aa
अकृतार्थ,akŕtārth,a k r i t aa r th
अकृती,akŕtī,a k r i t ii
अकृत्य,akŕty,a k r i t y
अकृत्रिम,akŕtrim,a k r i t r i m
अकेला,akelā,a k e l aa
अकेलापन,akelāpan,a k e l aa p a n
अकोर,akor,a k o r
अकोर,akor,a k o r
अकोल,akol,a k o l
अकौड़ा,akauṛā,a k O rr aa
अक्कड़,akkaṛ,a k k a rr
अक़्क़लबार,aqqalbār,a q q a l b aa r
अक्खड़,akkhaṛ,a k kh a rr
अक्खड़पन,akkhaṛpan,a k kh a rr p a n
अक्खंड़पना,akkhaṇṛapnā,a k kh a n rr a p n aa
अक्खाह,akkhāh,a k kh aa h
अक्तूबर,aktūbar,a k t uu b a r
अक्रूर,akrūr,a k r uu r
अक़्ल,aql,a q l
अक़्ली,aqlī,a q l ii
अक्ष,akṣ,a k sh
अक्षत,akṣat,a k sh a t
अक्षम,akṣam,a k sh a m
अक्षमता,akṣamtā,a k sh a m t aa
अक्षय,akṣay,a k sh a y
अक्षयता,akṣayatā,a k sh a y a t aa
अक्षय्य,akṣayy,a k sh a y y
अक्षर,akṣar,a k sh a r
अक्षरी,akṣarī,a k sh a r ii
अक्षरी,akṣarī,a k sh a r ii
अक्षरौटी,akṣarauṭī,a k sh a r O tt ii
अक्षि,akṣi,a k sh i
अक्षीय,akṣīya,a k sh ii y a
अक्षुण्ण,akṣuṇṇ,a k sh u n n
अक्षेम,akṣem,a k sh e m
अक्षोनि,akṣoni,a k sh o n i
अक्षोहिणी,akṣohiṇī,a k sh o h i n ii
अक्स,aks,a k s
अक्सर,aksar,a k s a r
अखंड,akhaṇḍ,a kh a n dd
अखंडता,akhaṇḍtā,a kh a n dd t aa
अखंडनीय,akhaṇḍnīya,a kh a n dd n ii y a
अखंडित,akhaṇḍit,a kh a n dd i t
अखंड्य,akhaṇḍy,a kh a n dd y
अखज,akhaj,a kh a j
अखड़ाना,akhṛānā,a kh rr aa n aa
अखड़ैत,akhṛait,a kh rr E t
अख़नी,axnī,a x n ii
अख़बार,axbār,a x b aa r
अख़बारी,axbārī,a x b aa r ii
अखय,akhay,a kh a y
अखरना,akharnā,a kh a r n aa
अखरोट,akhroṭ,a kh r o tt
अख़रोट,axroṭ,a x r o tt
अख़लाक़,axlāq,a x l aa q
अखाड़ा,akhāṛā,a kh aa rr aa
अखड़िया,akhṛiyā,a kh rr i y aa
अखाद्य,akhādy,a kh aa d y
अखिल,akhil,a kh i l
अख़ीर,axīr,a x ii r
अख़्तियार,axtiyār,a x t i y aa r
अख्यात,akhyāt,a kh y aa t
अख्याति,akhyāti,a kh y aa t i
अग,ag,a g
अगड़धत्त,agaṛdhatt,a g a rr dh a t t
अगड़बगड़,agṛabgaṛ,a g rr a b g a rr
अगड़मबगड़म,agaṛmabagṛam,a g a rr m a b a g rr a m
अगणनीय,agaṇnīya,a g a n n ii y a
अगणित,agṇit,a g n i t
अगण्य,agaṇy,a g a n y
अगत,agat,a g a t
अगति,agti,a g t i
अगतिक,agtik,a g t i k
अगती,agtī,a g t ii
अगत्तर,agattar,a g a t t a r
अगन,agan,a g a n
अगम,agam,a g a m
अगम,agam,a g a m
अगम्य,agamy,a g a m y
अगर,agar,a g a r
अगर,agar,a g a r
अगरचे,agarce,a g a r c e
अग़लबग़ल,aġlabġal,a Gh l a b Gh a l
अगला,aglā,a g l aa
अगवाई,agvāī,a g v aa ii
अगवाड़ा,agvāṛā,a g v aa rr aa
अगवान,agvān,a g v aa n
अगवान,agvān,a g v aa n
अगवानी,agvānī,a g v aa n ii
अगवानी,agvānī,a g v aa n ii
अगवार,agvār,a g v aa r
अगस्त,agast,a g a s t
अगस्ति,agasti,a g a s t i
अगस्त्य,agasty,a g a s t y
अगहन,aghan,a gh a n
अगहनिया,agahniyā,a g a h n i y aa
अगहनी,agahnī,a g a h n ii
अगाऊ,agāū,a g aa uu
अगाड़ी,agāṛī,a g aa rr ii
अगाध,agādh,a g aa dh
अगाधता,agādhtā,a g aa dh t aa
अगास,agās,a g aa s
आगासी,āgāsī,aa g aa s ii
आगिया,āgiyā,aa g i y aa
अगियाना,agiyānā,a g i y aa n aa
अगियारी,agiyārī,a g i y aa r ii
अगुआ,aguā,a g u aa
,,
अगुण,aguṇ,a g u n
अगुणी,aguṇī,a g u n ii
अगुवा,aguvā,a g u v aa
अगूढ़,agūṛh,a g uu rrh
अगोचर,agocar,a g o c a r
आगोट,āgoṭ,aa g o tt
अगोत्री,agotrī,a g o t r ii
अगोरा,agorā,a g o r aa
अगोरना,agornā,a g o r n aa
अगौनी,agaunī,a g O n ii
अगौर,agaur,a g O r
अग्ग्रास,aggrās,a g g r aa s
अग्नि,agni,a g n i
अग्र,agr,a g r
अग्रणी,agraṇī,a g r a n ii
अग्रता,agratā,a g r a t aa
अग्राह्य,agrāhy,a g r aa h y
अग्रिम,agrim,a g r i m
अघ,agh,a gh
अघट,aghaṭ,a gh a tt
अघटित,aghṭit,a gh tt i t
अघाई,aghāī,a gh aa ii
अघाई,aghāī,a gh aa ii
अघाना,aghānā,a gh aa n aa
अघाना,aghānā,a gh aa n aa
अघोर,aghor,a gh o r
अघोरी,aghorī,a gh o r ii
अघोरीपन,aghorīpan,a gh o r ii p a n
अघोरीपना,aghorīpnā,a gh o r ii p n aa
अघोष,aghoṣ,a gh o sh
अचंचल,acañcal,a c a n ~ c a l
अचंड,acaṇḍ,a c a n dd
अचंभा,acambhā,a c a m bh aa
अचंभित,acambhit,a c a m bh i t
अच,ac,a c
अंचक,añcak,a n ~ c a k
अंचक,añcak,a n ~ c a k
अचक,acak,a c a k
अचकचाना,acakcānā,a c a k c aa n aa
अचकचाहट,acakcāhaṭ,a c a k c aa h a tt
अचकन,ackan,a c k a n
अचक्षु,acakṣu,a c a k sh u
अचतुर,actur,a c t u r
अचपल,acpal,a c p a l
अचपल,acpal,a c p a l
अचपलता,acpaltā,a c p a l t aa
अचपला,acaplā,a c a p l aa
अचपलापन,acaplāpan,a c a p l aa p a n
अचपली,acaplī,a c a p l ii
अचर,acar,a c a r
अचरज,acraj,a c r a j
अचरा,acrā,a c r aa
अचल,acal,a c a l
अचला,aclā,a c l aa
अचव,acav,a c a v
अचवन,acvan,a c v a n
अचवाना,acvānā,a c v aa n aa
अचांचक,acāñcak,a c aa n ~ c a k
अचाका,acākā,a c aa k aa
अचानक,acānak,a c aa n a k
अचाना,acānā,a c aa n aa
अचार,acār,a c aa r
अचार,acār,a c aa r
अचिंत,acint,a c i n t
अचिंतनीय,acintnīya,a c i n t n ii y a
अचिंता,acintā,a c i n t aa
अचिंतित,acintit,a c i n t i t
अचिंत्य,acinty,a c i n t y
अचिकित्स्य,acikitsy,a c i k i t s y
अचिर,acir,a c i r
अचीता,acītā,a c ii t aa
अचूक,acūk,a c uu k
अचेत,acet,a c e t
अचेतन,acetan,a c e t a n
अचेतनता,acetantā,a c e t a n t aa
अचेतपना,acetapnā,a c e t a p n aa
अचेष्ट,aceṣṭ,a c e sh tt
अचैतन्य,acaitany,a c E t a n y
अचैन,acain,a c E n
अचौन,acaun,a c O n
अच्छ,acch,a c ch
अच्छ,acch,a c ch
अच्छत,acchat,a c ch a t
अच्छर,acchar,a c ch a r
अच्छरी,accharī,a c ch a r ii
अच्छा,acchā,a c ch aa
अच्छाई,acchāī,a c ch aa ii
अच्छापन,acchāpan,a c ch aa p a n
अच्युत,acyut,a c y u t
अछ,ach,a ch
अछत,achat,a ch a t
अछतानापछताना,achtānāpachtānā,a ch t aa n aa p a ch t aa n aa
अछरी,achrī,a ch r ii
अछरौटी,achrauṭī,a ch r O tt ii
अछवानी,achvānī,a ch v aa n ii
अछूत,achūt,a ch uu t
अछूता,achūtā,a ch uu t aa
अछेद,ached,a ch e d
अछेव,achev,a ch e v
अछेह,acheh,a ch e h
अंजट,añjaṭ,a n ~ j a tt
अज,aj,a j
अज़,az,a z
अज,aj,a j
अजगर,ajgar,a j g a r
अजगरी,ajagrī,a j a g r ii
अजगव,ajgav,a j g a v
अजगुत,ajgut,a j g u t
अजदहा,ajadhā,a j a dh aa
अजनबी,ajanbī,a j a n b ii
अजनबीपन,ajanbīpan,a j a n b ii p a n
अजनबीयत,ajanbīyat,a j a n b ii y a t
अजन्म,ajanm,a j a n m
अजन्मा,ajanmā,a j a n m aa
अजब,ajab,a j a b
अज़मत,azmat,a z m a t
अजमूद,ajmūd,a j m uu d
अजमोद,ajmod,a j m o d
अजमोदा,ajmodā,a j m o d aa
अजय,ajay,a j a y
अजर,ajar,a j a r
अजरायल,ajrāyal,a j r aa y a l
अजल,ajal,a j a l
अजल,ajal,a j a l
अजवाइन,ajvāin,a j v aa i n
अजवायन,ajvāyan,a j v aa y a n
अजस्त्र,ajastr,a j a s t r
अज़ा,azā,a z aa
अजात,ajāt,a j aa t
अजात,ajāt,a j aa t
अजाति,ajāti,a j aa t i
अजाती,ajātī,a j aa t ii
अजान,ajān,a j aa n
अज़ान,azān,a z aa n
अजानपन,ajānpan,a j aa n p a n
अजाना,ajānā,a j aa n aa
अजानी,ajānī,a j aa n ii
अज़ाब,azāb,a z aa b
अजायब,ajāyab,a j aa y a b
प्रजार,prajār,p r a j aa r
अजित,ajit,a j i t
अजिन,ajin,a j i n
अजिर,ajir,a j i r
अजी,ajī,a j ii
अज़ीज़,azīz,a z ii z
अज़ीज़ी,azīzī,a z ii z ii
अजीत,ajīt,a j ii t
अजीब,ajīb,a j ii b
अज़ीम,azīm,a z ii m
अजीरन,ajīran,a j ii r a n
अजीर्ण,ajīrṇ,a j ii r n
अजीव,ajīv,a j ii v
अजूठा,ajūṭhā,a j uu tth aa
अजूबा,ajūbā,a j uu b aa
अजूरा,ajūrā,a j uu r aa
अजोड़,ajoṛ,a j o rr
अजोत,ajot,a j o t
अजोत,ajot,a j o t
अजौरी,ajaurī,a j O r ii
अजौली,ajaulī,a j O l ii
अज्ञ,agy,a g y
अज्ञता,agyatā,a g y a t aa
अज्ञात,agyāt,a g y aa t
अज्ञान,agyān,a g y aa n
अज्ञानता,agyāntā,a g y aa n t aa
अज्ञानपन,agyānpan,a g y aa n p a n
अज्ञानी,agyānī,a g y aa n ii
अज्ञेय,agyeya,a g y e y a
अटंबर,aṭambar,a tt a m b a r
अट,aṭ,a tt
अट,aṭ,a tt
अटक,aṭak,a tt a k
अटकना,aṭaknā,a tt a k n aa
अटकर,aṭkar,a tt k a r
अटकल,aṭkal,a tt k a l
अटकलना,aṭkalnā,a tt k a l n aa
अटका,aṭkā,a tt k aa
अटका,aṭkā,a tt k aa
अटकाना,aṭkānā,a tt k aa n aa
अटकाव,aṭkāv,a tt k aa v
अटन,aṭan,a tt a n
अटना,aṭnā,a tt n aa
अटपट,aṭpaṭ,a tt p a tt
अटपटाँग,aṭapṭā̃g,a tt a p tt aa ~ g
अटपटा,aṭapṭā,a tt a p tt aa
अटपटाना,aṭapṭānā,a tt a p tt aa n aa
अटपटी,aṭapṭī,a tt a p tt ii
अटम,aṭam,a tt a m
अटमपटम,aṭmapṭam,a tt m a p tt a m
अटल,aṭal,a tt a l
अटवाटीखटवाटी,aṭvāṭīkhaṭvāṭī,a tt v aa tt ii kh a tt v aa tt ii
अटवी,aṭvī,a tt v ii
अटसट,aṭsaṭ,a tt s a tt
अटा,aṭā,a tt aa
अटाटूट,aṭāṭūṭ,a tt aa tt uu tt
अटाना,aṭānā,a tt aa n aa
अटारी,aṭārī,a tt aa r ii
अटाल,aṭāl,a tt aa l
अटाला,aṭālā,a tt aa l aa
अटिया,aṭiyā,a tt i y aa
अटूट,aṭūṭ,a tt uu tt
अटेक,aṭek,a tt e k
अटेरन,aṭeran,a tt e r a n
अटेरना,aṭernā,a tt e r n aa
अटोक,aṭok,a tt o k
अट्ट,aṭṭ,a tt tt
अट्टसट्ट,aṭṭasaṭṭ,a tt tt a s a tt tt
अट्टहास,aṭṭahās,a tt tt a h aa s
अट्टा,aṭṭā,a tt tt aa
अट्टालिका,aṭṭālikā,a tt tt aa l i k aa
अट्टी,aṭṭī,a tt tt ii
अट्ठा,aṭṭhā,a tt tth aa
अट्ठाईस,aṭṭhāīs,a tt tth aa ii s
अट्ठानवे,aṭṭhānve,a tt tth aa n v e
अट्ठावन,aṭṭhāvan,a tt tth aa v a n
अट्ठासी,aṭṭhāsī,a tt tth aa s ii
अठ,aṭh,a tth
अठखेलपन,aṭhkhelpan,a tth kh e l p a n
अठखेलपना,aṭhkhelapnā,a tth kh e l a p n aa
अठखेली,aṭhkhelī,a tth kh e l ii
अठन्नी,aṭhannī,a tth a n n ii
अठल,aṭhal,a tth a l
अठवारा,aṭhvārā,a tth v aa r aa
अठहत्तर,aṭhhattar,a tth h a t t a r
अठारह,aṭhārah,a tth aa r a h
अठारहवाँ,aṭhārahvā̃,a tth aa r a h v aa ~
अठेल,aṭhel,a tth e l
अठौड़ी,aṭhauṛī,a tth O rr ii
अड़ँगतड़ँग,aṛãgatṛãg,a rr a ~ g a t rr a ~ g
अड़ँगबड़ँग,aṛãgabṛãg,a rr a ~ g a b rr a ~ g
अड़ंगा,aṛaṅgā,a rr a ng g aa
अड़,aṛ,a rr
अड़गोड़ा,aṛgoṛā,a rr g o rr aa
अड़चन,aṛcan,a rr c a n
अड़चल,aṛcal,a rr c a l
अड़ड़ाना,aṛṛānā,a rr rr aa n aa
अड़तालीस,aṛtālīs,a rr t aa l ii s
अड़तीस,aṛtīs,a rr t ii s
अड़ना,aṛnā,a rr n aa
अड़पझड़प,aṛpajhṛap,a rr p a jh rr a p
अड़बंगा,aṛbaṅgā,a rr b a ng g aa
अड़बंद,aṛband,a rr b a n d
अडरउडर,aḍrauḍar,a dd r O dd a r
अड़वा,aṛvā,a rr v aa
अड़वाड़,aṛvāṛ,a rr v aa rr
अडसट्टा,aḍsaṭṭā,a dd s a tt tt aa
अड़सठ,aṛsaṭh,a rr s a tth
अड़हाया,aṛhāyā,a rrh aa y aa
अड़हुल,aṛhul,a rrh u l
अड़ा,aṛā,a rr aa
अड़ाड़,aṛāṛ,a rr aa rr
अड़ाड़,aṛāṛ,a rr aa rr
अड़ाना,aṛānā,a rr aa n aa
अड़ार,aṛār,a rr aa r
अड़ार,aṛār,a rr aa r
अड़ारी,aṛārī,a rr aa r ii
अडिग,aḍig,a dd i g
अड़ियल,aṛiyal,a rr i y a l
अड़ी,aṛī,a rr ii
अड़ुआ,aṛuā,a rr u aa
अड़ूसा,aṛūsā,a rr uu s aa
अड़ैंच,aṛaiñc,a rr E n ~ c
अडोल,aḍol,a dd o l
अड़ोसपड़ोस,aṛosapṛos,a rr o s a p rr o s
अड़ोसीपड़ोसी,aṛosīpṛosī,a rr o s ii p rr o s ii
अढ़तिया,aṛhtiyā,a rrh t i y aa
अड्डा,aḍḍā,a dd dd aa
अढ़ाई,aṛhāī,a rrh aa ii
अढाना,aḍhānā,a ddh aa n aa
अढ़िया,aṛhiyā,a rrh i y aa
अढ़ैया,aṛhaiyā,a rrh E y aa
अढ़ौना,aṛhaunā,a rrh O n aa
अणि,aṇi,a n i
अणिमा,aṇimā,a n i m aa
अणु,aṇu,a n u
अणुक,aṇuk,a n u k
अत,at,a t
अत,at,a t
